affiliation_id,hcp_id,hco_id,relationship_type,is_primary,effective_from,effective_to
AFF-000001,HCP-000001,HCO-000001,PRACTISES_AT,True,2026-07-01,
AFF-000002,HCP-000002,HCO-000002,PRACTISES_AT,True,2026-07-01,
AFF-000003,HCP-000003,HCO-000003,PRACTISES_AT,True,2026-07-01,
AFF-000004,HCP-000004,HCO-000004,PRACTISES_AT,True,2026-07-01,
AFF-000005,HCP-000005,HCO-000005,PRACTISES_AT,True,2026-07-01,
AFF-000006,HCP-000006,HCO-000006,PRACTISES_AT,True,2026-07-01,
AFF-000007,HCP-000007,HCO-000007,PRACTISES_AT,True,2026-07-01,
AFF-000008,HCP-000008,HCO-000008,PRACTISES_AT,True,2026-07-01,
AFF-000009,HCP-000009,HCO-000009,PRACTISES_AT,True,2026-07-01,
AFF-000010,HCP-000010,HCO-000010,PRACTISES_AT,True,2026-07-01,
AFF-000011,HCP-000011,HCO-000011,PRACTISES_AT,True,2026-07-01,
AFF-000012,HCP-000012,HCO-000012,PRACTISES_AT,True,2026-07-01,
AFF-000013,HCP-000013,HCO-000001,PRACTISES_AT,True,2026-07-01,
AFF-000014,HCP-000014,HCO-000002,PRACTISES_AT,True,2026-07-01,
AFF-000015,HCP-000015,HCO-000003,PRACTISES_AT,True,2026-07-01,
AFF-000016,HCP-000016,HCO-000004,PRACTISES_AT,True,2026-07-01,
AFF-000017,HCP-000017,HCO-000005,PRACTISES_AT,True,2026-07-01,
AFF-000018,HCP-000018,HCO-000006,PRACTISES_AT,True,2026-07-01,
AFF-000019,HCP-000019,HCO-000007,PRACTISES_AT,True,2026-07-01,
AFF-000020,HCP-000020,HCO-000008,PRACTISES_AT,True,2026-07-01,
AFF-000021,HCP-000021,HCO-000009,PRACTISES_AT,True,2026-07-01,
AFF-000022,HCP-000022,HCO-000010,PRACTISES_AT,True,2026-07-01,
AFF-000023,HCP-000023,HCO-000011,PRACTISES_AT,True,2026-07-01,
AFF-000024,HCP-000024,HCO-000012,PRACTISES_AT,True,2026-07-01,
AFF-000025,HCP-000025,HCO-000001,PRACTISES_AT,True,2026-07-01,
AFF-000026,HCP-000026,HCO-000002,PRACTISES_AT,True,2026-07-01,
AFF-000027,HCP-000027,HCO-000003,PRACTISES_AT,True,2026-07-01,
AFF-000028,HCP-000028,HCO-000004,PRACTISES_AT,True,2026-07-01,
AFF-000029,HCP-000029,HCO-000005,PRACTISES_AT,True,2026-07-01,
AFF-000030,HCP-000030,HCO-000006,PRACTISES_AT,True,2026-07-01,
AFF-000031,HCP-000031,HCO-000007,PRACTISES_AT,True,2026-07-01,
AFF-000032,HCP-000032,HCO-000008,PRACTISES_AT,True,2026-07-01,
AFF-000033,HCP-000033,HCO-000009,PRACTISES_AT,True,2026-07-01,
AFF-000034,HCP-000034,HCO-000010,PRACTISES_AT,True,2026-07-01,
AFF-000035,HCP-000035,HCO-000011,PRACTISES_AT,True,2026-07-01,
AFF-000036,HCP-000036,HCO-000012,PRACTISES_AT,True,2026-07-01,
AFF-000037,HCP-000037,HCO-000001,PRACTISES_AT,True,2026-07-01,
AFF-000038,HCP-000038,HCO-000002,PRACTISES_AT,True,2026-07-01,
AFF-000039,HCP-000039,HCO-000003,PRACTISES_AT,True,2026-07-01,
AFF-000040,HCP-000040,HCO-000004,PRACTISES_AT,True,2026-07-01,
AFF-000041,HCP-000041,HCO-000005,PRACTISES_AT,True,2026-07-01,
AFF-000042,HCP-000042,HCO-000006,PRACTISES_AT,True,2026-07-01,
AFF-000043,HCP-000043,HCO-000007,PRACTISES_AT,True,2026-07-01,
AFF-000044,HCP-000044,HCO-000008,PRACTISES_AT,True,2026-07-01,
AFF-000045,HCP-000045,HCO-000009,PRACTISES_AT,True,2026-07-01,
AFF-000046,HCP-000046,HCO-000010,PRACTISES_AT,True,2026-07-01,
AFF-000047,HCP-000047,HCO-000011,PRACTISES_AT,True,2026-07-01,
AFF-000048,HCP-000048,HCO-000012,PRACTISES_AT,True,2026-07-01,
AFF-000049,HCP-000049,HCO-000001,PRACTISES_AT,True,2026-07-01,
AFF-000050,HCP-000050,HCO-000002,PRACTISES_AT,True,2026-07-01,
AFF-000051,HCP-000051,HCO-000003,PRACTISES_AT,True,2026-07-01,
AFF-000052,HCP-000052,HCO-000004,PRACTISES_AT,True,2026-07-01,
AFF-000053,HCP-000053,HCO-000005,PRACTISES_AT,True,2026-07-01,
AFF-000054,HCP-000054,HCO-000006,PRACTISES_AT,True,2026-07-01,
AFF-000055,HCP-000055,HCO-000007,PRACTISES_AT,True,2026-07-01,
AFF-000056,HCP-000056,HCO-000008,PRACTISES_AT,True,2026-07-01,
AFF-000057,HCP-000057,HCO-000009,PRACTISES_AT,True,2026-07-01,
AFF-000058,HCP-000058,HCO-000010,PRACTISES_AT,True,2026-07-01,
AFF-000059,HCP-000059,HCO-000011,PRACTISES_AT,True,2026-07-01,
AFF-000060,HCP-000060,HCO-000012,PRACTISES_AT,True,2026-07-01,
AFF-000061,HCP-000061,HCO-000001,PRACTISES_AT,True,2026-07-01,
AFF-000062,HCP-000062,HCO-000002,PRACTISES_AT,True,2026-07-01,
AFF-000063,HCP-000063,HCO-000003,PRACTISES_AT,True,2026-07-01,
AFF-000064,HCP-000064,HCO-000004,PRACTISES_AT,True,2026-07-01,
AFF-000065,HCP-000065,HCO-000005,PRACTISES_AT,True,2026-07-01,
AFF-000066,HCP-000066,HCO-000006,PRACTISES_AT,True,2026-07-01,
AFF-000067,HCP-000067,HCO-000007,PRACTISES_AT,True,2026-07-01,
AFF-000068,HCP-000068,HCO-000008,PRACTISES_AT,True,2026-07-01,
AFF-000069,HCP-000069,HCO-000009,PRACTISES_AT,True,2026-07-01,
AFF-000070,HCP-000070,HCO-000010,PRACTISES_AT,True,2026-07-01,
AFF-000071,HCP-000071,HCO-000011,PRACTISES_AT,True,2026-07-01,
AFF-000072,HCP-000072,HCO-000012,PRACTISES_AT,True,2026-07-01,
AFF-000073,HCP-000073,HCO-000001,PRACTISES_AT,True,2026-07-01,
AFF-000074,HCP-000074,HCO-000002,PRACTISES_AT,True,2026-07-01,
AFF-000075,HCP-000075,HCO-000003,PRACTISES_AT,True,2026-07-01,
AFF-000076,HCP-000076,HCO-000004,PRACTISES_AT,True,2026-07-01,
AFF-000077,HCP-000077,HCO-000005,PRACTISES_AT,True,2026-07-01,
AFF-000078,HCP-000078,HCO-000006,PRACTISES_AT,True,2026-07-01,
AFF-000079,HCP-000079,HCO-000007,PRACTISES_AT,True,2026-07-01,
