membership_id,campaign_id,hcp_id,member_status
MEM-1-1,CAMPAIGN-000001,HCP-000001,ENROLLED
MEM-1-2,CAMPAIGN-000001,HCP-000002,ENROLLED
MEM-1-3,CAMPAIGN-000001,HCP-000003,ENROLLED
MEM-1-4,CAMPAIGN-000001,HCP-000004,ENROLLED
MEM-1-5,CAMPAIGN-000001,HCP-000005,ENROLLED
MEM-1-6,CAMPAIGN-000001,HCP-000006,ENROLLED
MEM-1-7,CAMPAIGN-000001,HCP-000007,ENROLLED
MEM-1-8,CAMPAIGN-000001,HCP-000008,ENROLLED
MEM-1-9,CAMPAIGN-000001,HCP-000009,ENROLLED
MEM-1-10,CAMPAIGN-000001,HCP-000010,ENROLLED
MEM-1-11,CAMPAIGN-000001,HCP-000011,ENROLLED
MEM-1-12,CAMPAIGN-000001,HCP-000012,ENROLLED
MEM-1-13,CAMPAIGN-000001,HCP-000013,ENROLLED
MEM-1-14,CAMPAIGN-000001,HCP-000014,ENROLLED
MEM-1-15,CAMPAIGN-000001,HCP-000015,ENROLLED
MEM-1-16,CAMPAIGN-000001,HCP-000016,ENROLLED
MEM-1-17,CAMPAIGN-000001,HCP-000017,ENROLLED
MEM-1-18,CAMPAIGN-000001,HCP-000018,ENROLLED
MEM-1-19,CAMPAIGN-000001,HCP-000019,ENROLLED
MEM-1-100,CAMPAIGN-000001,HCP-000100,ENROLLED
MEM-2-21,CAMPAIGN-000002,HCP-000021,ENROLLED
MEM-2-22,CAMPAIGN-000002,HCP-000022,ENROLLED
MEM-2-23,CAMPAIGN-000002,HCP-000023,ENROLLED
MEM-2-24,CAMPAIGN-000002,HCP-000024,ENROLLED
MEM-2-25,CAMPAIGN-000002,HCP-000025,ENROLLED
MEM-2-26,CAMPAIGN-000002,HCP-000026,ENROLLED
MEM-2-27,CAMPAIGN-000002,HCP-000027,ENROLLED
MEM-2-28,CAMPAIGN-000002,HCP-000028,ENROLLED
MEM-2-29,CAMPAIGN-000002,HCP-000029,ENROLLED
MEM-2-30,CAMPAIGN-000002,HCP-000030,ENROLLED
MEM-2-31,CAMPAIGN-000002,HCP-000031,ENROLLED
MEM-2-32,CAMPAIGN-000002,HCP-000032,ENROLLED
MEM-2-33,CAMPAIGN-000002,HCP-000033,ENROLLED
MEM-2-34,CAMPAIGN-000002,HCP-000034,ENROLLED
MEM-2-35,CAMPAIGN-000002,HCP-000035,ENROLLED
MEM-2-36,CAMPAIGN-000002,HCP-000036,ENROLLED
MEM-2-37,CAMPAIGN-000002,HCP-000037,ENROLLED
MEM-2-38,CAMPAIGN-000002,HCP-000038,ENROLLED
MEM-2-39,CAMPAIGN-000002,HCP-000039,ENROLLED
MEM-2-40,CAMPAIGN-000002,HCP-000040,ENROLLED
MEM-3-41,CAMPAIGN-000003,HCP-000041,ENROLLED
MEM-3-42,CAMPAIGN-000003,HCP-000042,ENROLLED
MEM-3-43,CAMPAIGN-000003,HCP-000043,ENROLLED
MEM-3-44,CAMPAIGN-000003,HCP-000044,ENROLLED
MEM-3-45,CAMPAIGN-000003,HCP-000045,ENROLLED
MEM-3-46,CAMPAIGN-000003,HCP-000046,ENROLLED
MEM-3-47,CAMPAIGN-000003,HCP-000047,ENROLLED
MEM-3-48,CAMPAIGN-000003,HCP-000048,ENROLLED
MEM-3-49,CAMPAIGN-000003,HCP-000049,ENROLLED
MEM-3-50,CAMPAIGN-000003,HCP-000050,ENROLLED
MEM-3-51,CAMPAIGN-000003,HCP-000051,ENROLLED
MEM-3-52,CAMPAIGN-000003,HCP-000052,ENROLLED
MEM-3-53,CAMPAIGN-000003,HCP-000053,ENROLLED
MEM-3-54,CAMPAIGN-000003,HCP-000054,ENROLLED
MEM-3-55,CAMPAIGN-000003,HCP-000055,ENROLLED
MEM-3-56,CAMPAIGN-000003,HCP-000056,ENROLLED
MEM-3-57,CAMPAIGN-000003,HCP-000057,ENROLLED
MEM-3-58,CAMPAIGN-000003,HCP-000058,ENROLLED
MEM-3-59,CAMPAIGN-000003,HCP-000059,ENROLLED
MEM-3-60,CAMPAIGN-000003,HCP-000060,ENROLLED
MEM-4-61,CAMPAIGN-000004,HCP-000061,ENROLLED
MEM-4-62,CAMPAIGN-000004,HCP-000062,ENROLLED
MEM-4-63,CAMPAIGN-000004,HCP-000063,ENROLLED
MEM-4-64,CAMPAIGN-000004,HCP-000064,ENROLLED
MEM-4-65,CAMPAIGN-000004,HCP-000065,ENROLLED
MEM-4-66,CAMPAIGN-000004,HCP-000066,ENROLLED
MEM-4-67,CAMPAIGN-000004,HCP-000067,ENROLLED
MEM-4-68,CAMPAIGN-000004,HCP-000068,ENROLLED
MEM-4-69,CAMPAIGN-000004,HCP-000069,ENROLLED
MEM-4-70,CAMPAIGN-000004,HCP-000070,ENROLLED
MEM-4-71,CAMPAIGN-000004,HCP-000071,ENROLLED
MEM-4-72,CAMPAIGN-000004,HCP-000072,ENROLLED
MEM-4-73,CAMPAIGN-000004,HCP-000073,ENROLLED
MEM-4-74,CAMPAIGN-000004,HCP-000074,ENROLLED
MEM-4-75,CAMPAIGN-000004,HCP-000075,ENROLLED
MEM-4-76,CAMPAIGN-000004,HCP-000076,ENROLLED
MEM-4-77,CAMPAIGN-000004,HCP-000077,ENROLLED
MEM-4-78,CAMPAIGN-000004,HCP-000078,ENROLLED
MEM-4-79,CAMPAIGN-000004,HCP-000079,ENROLLED
MEM-4-80,CAMPAIGN-000004,HCP-000080,ENROLLED
