consent_id,hcp_id,channel,purpose,status,effective_at,sequence_no,delivery_batch
CONSENT-000001,HCP-000001,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000002,HCP-000002,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000003,HCP-000003,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000005,HCP-000005,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000006,HCP-000006,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000007,HCP-000007,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000008,HCP-000008,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000009,HCP-000009,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000010,HCP-000010,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000011,HCP-000011,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000012,HCP-000012,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000013,HCP-000013,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000014,HCP-000014,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000015,HCP-000015,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000016,HCP-000016,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000017,HCP-000017,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000018,HCP-000018,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000019,HCP-000019,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000020,HCP-000020,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000021,HCP-000021,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000022,HCP-000022,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000023,HCP-000023,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000024,HCP-000024,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000025,HCP-000025,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000026,HCP-000026,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000027,HCP-000027,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000028,HCP-000028,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000029,HCP-000029,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000030,HCP-000030,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000031,HCP-000031,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000032,HCP-000032,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000033,HCP-000033,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000034,HCP-000034,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000035,HCP-000035,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000036,HCP-000036,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000037,HCP-000037,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000038,HCP-000038,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000039,HCP-000039,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000040,HCP-000040,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000041,HCP-000041,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000042,HCP-000042,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000043,HCP-000043,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000044,HCP-000044,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000045,HCP-000045,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000046,HCP-000046,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000047,HCP-000047,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000048,HCP-000048,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000049,HCP-000049,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000050,HCP-000050,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000051,HCP-000051,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000052,HCP-000052,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000053,HCP-000053,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000054,HCP-000054,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000055,HCP-000055,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000056,HCP-000056,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000057,HCP-000057,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000058,HCP-000058,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000059,HCP-000059,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000060,HCP-000060,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000061,HCP-000061,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000062,HCP-000062,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000063,HCP-000063,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000064,HCP-000064,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000065,HCP-000065,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000066,HCP-000066,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000067,HCP-000067,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
