assignment_id,hcp_id,territory_id,effective_from,effective_to
ASSIGN-000001,HCP-000001,TERRITORY-000001,2026-07-01,
ASSIGN-000002,HCP-000002,TERRITORY-000002,2026-07-01,
ASSIGN-000003,HCP-000003,TERRITORY-000003,2026-07-01,
ASSIGN-000004,HCP-000004,TERRITORY-000004,2026-07-01,
ASSIGN-000005,HCP-000005,TERRITORY-000001,2026-07-01,
ASSIGN-000006,HCP-000006,TERRITORY-000002,2026-07-01,
ASSIGN-000007,HCP-000007,TERRITORY-000003,2026-07-01,
ASSIGN-000008,HCP-000008,TERRITORY-000004,2026-07-01,
ASSIGN-000009,HCP-000009,TERRITORY-000001,2026-07-01,
ASSIGN-000010,HCP-000010,TERRITORY-000002,2026-07-01,
ASSIGN-000011,HCP-000011,TERRITORY-000003,2026-07-01,
ASSIGN-000012,HCP-000012,TERRITORY-000004,2026-07-01,
ASSIGN-000013,HCP-000013,TERRITORY-000001,2026-07-01,
ASSIGN-000014,HCP-000014,TERRITORY-000002,2026-07-01,
ASSIGN-000015,HCP-000015,TERRITORY-000003,2026-07-01,
ASSIGN-000016,HCP-000016,TERRITORY-000004,2026-07-01,
ASSIGN-000017,HCP-000017,TERRITORY-000001,2026-07-01,
ASSIGN-000018,HCP-000018,TERRITORY-000002,2026-07-01,
ASSIGN-000019,HCP-000019,TERRITORY-000003,2026-07-01,
ASSIGN-000020,HCP-000020,TERRITORY-000004,2026-07-01,
ASSIGN-000021,HCP-000021,TERRITORY-000001,2026-07-01,
ASSIGN-000022,HCP-000022,TERRITORY-000002,2026-07-01,
ASSIGN-000023,HCP-000023,TERRITORY-000003,2026-07-01,
ASSIGN-000024,HCP-000024,TERRITORY-000004,2026-07-01,
ASSIGN-000025,HCP-000025,TERRITORY-000001,2026-07-01,
ASSIGN-000026,HCP-000026,TERRITORY-000002,2026-07-01,
ASSIGN-000027,HCP-000027,TERRITORY-000003,2026-07-01,
ASSIGN-000028,HCP-000028,TERRITORY-000004,2026-07-01,
ASSIGN-000029,HCP-000029,TERRITORY-000001,2026-07-01,
ASSIGN-000030,HCP-000030,TERRITORY-000002,2026-07-01,
ASSIGN-000031,HCP-000031,TERRITORY-000003,2026-07-01,
ASSIGN-000032,HCP-000032,TERRITORY-000004,2026-07-01,
ASSIGN-000033,HCP-000033,TERRITORY-000001,2026-07-01,
ASSIGN-000034,HCP-000034,TERRITORY-000002,2026-07-01,
ASSIGN-000035,HCP-000035,TERRITORY-000003,2026-07-01,
ASSIGN-000036,HCP-000036,TERRITORY-000004,2026-07-01,
ASSIGN-000037,HCP-000037,TERRITORY-000001,2026-07-01,
ASSIGN-000038,HCP-000038,TERRITORY-000002,2026-07-01,
ASSIGN-000039,HCP-000039,TERRITORY-000003,2026-07-01,
ASSIGN-000040,HCP-000040,TERRITORY-000004,2026-07-01,
ASSIGN-000041,HCP-000041,TERRITORY-000001,2026-07-01,
ASSIGN-000042,HCP-000042,TERRITORY-000002,2026-07-01,
ASSIGN-000043,HCP-000043,TERRITORY-000003,2026-07-01,
ASSIGN-000044,HCP-000044,TERRITORY-000004,2026-07-01,
ASSIGN-000045,HCP-000045,TERRITORY-000001,2026-07-01,
ASSIGN-000046,HCP-000046,TERRITORY-000002,2026-07-01,
ASSIGN-000047,HCP-000047,TERRITORY-000003,2026-07-01,
ASSIGN-000048,HCP-000048,TERRITORY-000004,2026-07-01,
ASSIGN-000049,HCP-000049,TERRITORY-000001,2026-07-01,
ASSIGN-000050,HCP-000050,TERRITORY-000002,2026-07-01,
ASSIGN-000051,HCP-000051,TERRITORY-000003,2026-07-01,
ASSIGN-000052,HCP-000052,TERRITORY-000004,2026-07-01,
ASSIGN-000053,HCP-000053,TERRITORY-000001,2026-07-01,
ASSIGN-000054,HCP-000054,TERRITORY-000002,2026-07-01,
ASSIGN-000055,HCP-000055,TERRITORY-000003,2026-07-01,
ASSIGN-000056,HCP-000056,TERRITORY-000004,2026-07-01,
ASSIGN-000057,HCP-000057,TERRITORY-000001,2026-07-01,
ASSIGN-000058,HCP-000058,TERRITORY-000002,2026-07-01,
ASSIGN-000059,HCP-000059,TERRITORY-000003,2026-07-01,
ASSIGN-000060,HCP-000060,TERRITORY-000004,2026-07-01,
ASSIGN-000061,HCP-000061,TERRITORY-000001,2026-07-01,
ASSIGN-000062,HCP-000062,TERRITORY-000002,2026-07-01,
ASSIGN-000063,HCP-000063,TERRITORY-000003,2026-07-01,
ASSIGN-000064,HCP-000064,TERRITORY-000004,2026-07-01,
ASSIGN-000065,HCP-000065,TERRITORY-000001,2026-07-01,
ASSIGN-000066,HCP-000066,TERRITORY-000002,2026-07-01,
ASSIGN-000067,HCP-000067,TERRITORY-000003,2026-07-01,
ASSIGN-000068,HCP-000068,TERRITORY-000004,2026-07-01,
ASSIGN-000069,HCP-000069,TERRITORY-000001,2026-07-01,
ASSIGN-000070,HCP-000070,TERRITORY-000002,2026-07-01,
ASSIGN-000071,HCP-000071,TERRITORY-000003,2026-07-01,
ASSIGN-000072,HCP-000072,TERRITORY-000004,2026-07-01,
ASSIGN-000073,HCP-000073,TERRITORY-000001,2026-07-01,
ASSIGN-000074,HCP-000074,TERRITORY-000002,2026-07-01,
ASSIGN-000075,HCP-000075,TERRITORY-000003,2026-07-01,
ASSIGN-000076,HCP-000076,TERRITORY-000004,2026-07-01,
ASSIGN-000077,HCP-000077,TERRITORY-000001,2026-07-01,
ASSIGN-000078,HCP-000078,TERRITORY-000002,2026-07-01,
