interaction_id,version_no,hcp_id,rep_id,primary_product_id,occurred_at,channel,approval,duration_minutes,modified_at,operation,delivery_batch
INTERACTION-000001,1,HCP-000001,REPRESENTATIVE-000001,PRODUCT-000001,2026-07-13T12:00:00Z,EMAIL,APPROVED,11,2026-07-13T12:00:00Z,UPSERT,b001
INTERACTION-000002,1,HCP-000002,REPRESENTATIVE-000002,PRODUCT-000002,2026-08-14T12:00:00Z,EMAIL,APPROVED,12,2026-08-14T12:00:00Z,UPSERT,b001
INTERACTION-000003,1,HCP-000003,REPRESENTATIVE-000003,PRODUCT-000003,2026-07-18T12:00:00Z,EMAIL,APPROVED,13,2026-07-18T12:00:00Z,UPSERT,b001
INTERACTION-000004,1,HCP-000004,REPRESENTATIVE-000004,PRODUCT-000004,2026-08-13T12:00:00Z,EMAIL,APPROVED,14,2026-08-13T12:00:00Z,UPSERT,b001
INTERACTION-000005,1,HCP-000005,REPRESENTATIVE-000005,PRODUCT-000001,2026-08-01T00:00:00Z,EMAIL,APPROVED,15,2026-08-01T00:00:00Z,UPSERT,b001
INTERACTION-000006,1,HCP-000006,REPRESENTATIVE-000006,PRODUCT-000002,2026-09-01T00:00:00Z,EMAIL,APPROVED,16,2026-09-01T00:00:00Z,UPSERT,b001
INTERACTION-000007,1,HCP-000007,REPRESENTATIVE-000007,PRODUCT-000003,2026-08-05T12:00:00Z,EMAIL,APPROVED,17,2026-08-05T12:00:00Z,UPSERT,b001
INTERACTION-000008,1,HCP-000008,REPRESENTATIVE-000008,PRODUCT-000004,2026-07-08T12:00:00Z,EMAIL,APPROVED,18,2026-07-08T12:00:00Z,UPSERT,b001
INTERACTION-000009,1,HCP-000009,REPRESENTATIVE-000001,PRODUCT-000001,2026-07-09T12:00:00Z,EMAIL,APPROVED,19,2026-07-09T12:00:00Z,UPSERT,b001
INTERACTION-000010,1,HCP-000010,REPRESENTATIVE-000002,PRODUCT-000002,2026-08-24T12:00:00Z,EMAIL,APPROVED,20,2026-08-24T12:00:00Z,UPSERT,b001
INTERACTION-000011,1,HCP-000011,REPRESENTATIVE-000003,PRODUCT-000003,2026-07-12T12:00:00Z,EMAIL,APPROVED,21,2026-07-12T12:00:00Z,UPSERT,b001
INTERACTION-000012,1,HCP-000012,REPRESENTATIVE-000004,PRODUCT-000004,2026-09-07T12:00:00Z,EMAIL,APPROVED,22,2026-09-07T12:00:00Z,UPSERT,b001
INTERACTION-000013,1,HCP-000013,REPRESENTATIVE-000005,PRODUCT-000001,2026-07-03T12:00:00Z,EMAIL,APPROVED,23,2026-07-03T12:00:00Z,UPSERT,b001
INTERACTION-000014,1,HCP-000014,REPRESENTATIVE-000006,PRODUCT-000002,2026-08-10T12:00:00Z,EMAIL,APPROVED,24,2026-08-10T12:00:00Z,UPSERT,b001
INTERACTION-000015,1,HCP-000015,REPRESENTATIVE-000007,PRODUCT-000003,2026-07-04T12:00:00Z,EMAIL,APPROVED,25,2026-07-04T12:00:00Z,UPSERT,b001
INTERACTION-000016,1,HCP-000016,REPRESENTATIVE-000008,PRODUCT-000004,2026-08-19T12:00:00Z,EMAIL,APPROVED,26,2026-08-19T12:00:00Z,UPSERT,b001
INTERACTION-000017,1,HCP-000017,REPRESENTATIVE-000001,PRODUCT-000001,2026-07-01T12:00:00Z,EMAIL,APPROVED,27,2026-07-01T12:00:00Z,UPSERT,b001
INTERACTION-000018,1,HCP-000018,REPRESENTATIVE-000002,PRODUCT-000002,2026-07-05T12:00:00Z,EMAIL,APPROVED,28,2026-07-05T12:00:00Z,UPSERT,b001
INTERACTION-000019,1,HCP-000019,REPRESENTATIVE-000003,PRODUCT-000003,2026-09-02T12:00:00Z,EMAIL,APPROVED,29,2026-09-02T12:00:00Z,UPSERT,b001
INTERACTION-000020,1,HCP-000020,REPRESENTATIVE-000004,PRODUCT-000004,2026-07-30T12:00:00Z,EMAIL,APPROVED,30,2026-07-30T12:00:00Z,UPSERT,b001
INTERACTION-000021,1,HCP-000021,REPRESENTATIVE-000005,PRODUCT-000001,2026-09-07T12:00:00Z,EMAIL,APPROVED,10,2026-09-07T12:00:00Z,UPSERT,b001
INTERACTION-000022,1,HCP-000022,REPRESENTATIVE-000006,PRODUCT-000002,2026-07-04T12:00:00Z,EMAIL,APPROVED,11,2026-07-04T12:00:00Z,UPSERT,b001
INTERACTION-000023,1,HCP-000023,REPRESENTATIVE-000007,PRODUCT-000003,2026-08-04T12:00:00Z,EMAIL,APPROVED,12,2026-08-04T12:00:00Z,UPSERT,b001
INTERACTION-000024,1,HCP-000024,REPRESENTATIVE-000008,PRODUCT-000004,2026-09-09T12:00:00Z,EMAIL,APPROVED,13,2026-09-09T12:00:00Z,UPSERT,b001
INTERACTION-000025,1,HCP-000025,REPRESENTATIVE-000001,PRODUCT-000001,2026-09-07T12:00:00Z,EMAIL,APPROVED,14,2026-09-07T12:00:00Z,UPSERT,b001
INTERACTION-000026,1,HCP-000026,REPRESENTATIVE-000002,PRODUCT-000002,2026-07-22T12:00:00Z,EMAIL,APPROVED,15,2026-07-22T12:00:00Z,UPSERT,b001
INTERACTION-000027,1,HCP-000027,REPRESENTATIVE-000003,PRODUCT-000003,2026-07-17T12:00:00Z,EMAIL,APPROVED,16,2026-07-17T12:00:00Z,UPSERT,b001
