interaction_id,version_no,product_id,detail_rank
INTERACTION-000001,1,PRODUCT-000001,1
INTERACTION-000002,1,PRODUCT-000002,1
INTERACTION-000003,1,PRODUCT-000003,1
INTERACTION-000004,1,PRODUCT-000004,1
INTERACTION-000005,1,PRODUCT-000001,1
INTERACTION-000006,1,PRODUCT-000002,1
INTERACTION-000007,1,PRODUCT-000003,1
INTERACTION-000008,1,PRODUCT-000004,1
INTERACTION-000009,1,PRODUCT-000001,1
INTERACTION-000010,1,PRODUCT-000002,1
INTERACTION-000011,1,PRODUCT-000003,1
INTERACTION-000012,1,PRODUCT-000004,1
INTERACTION-000013,1,PRODUCT-000001,1
INTERACTION-000014,1,PRODUCT-000002,1
INTERACTION-000015,1,PRODUCT-000003,1
INTERACTION-000016,1,PRODUCT-000004,1
INTERACTION-000017,1,PRODUCT-000001,1
INTERACTION-000017,1,PRODUCT-000002,2
INTERACTION-000018,1,PRODUCT-000002,1
INTERACTION-000019,1,PRODUCT-000003,1
INTERACTION-000020,1,PRODUCT-000004,1
INTERACTION-000021,1,PRODUCT-000001,1
INTERACTION-000022,1,PRODUCT-000002,1
INTERACTION-000023,1,PRODUCT-000003,1
INTERACTION-000024,1,PRODUCT-000004,1
INTERACTION-000025,1,PRODUCT-000001,1
INTERACTION-000026,1,PRODUCT-000002,1
INTERACTION-000027,1,PRODUCT-000003,1
INTERACTION-000028,1,PRODUCT-000004,1
INTERACTION-000029,1,PRODUCT-000001,1
INTERACTION-000030,1,PRODUCT-000002,1
INTERACTION-000031,1,PRODUCT-000003,1
INTERACTION-000032,1,PRODUCT-000004,1
INTERACTION-000033,1,PRODUCT-000001,1
INTERACTION-000034,1,PRODUCT-000002,1
INTERACTION-000034,1,PRODUCT-000003,2
INTERACTION-000035,1,PRODUCT-000003,1
INTERACTION-000036,1,PRODUCT-000004,1
INTERACTION-000037,1,PRODUCT-000001,1
INTERACTION-000038,1,PRODUCT-000002,1
INTERACTION-000039,1,PRODUCT-000003,1
INTERACTION-000040,1,PRODUCT-000004,1
INTERACTION-000041,1,PRODUCT-000001,1
INTERACTION-000042,1,PRODUCT-000002,1
INTERACTION-000043,1,PRODUCT-000003,1
INTERACTION-000044,1,PRODUCT-000004,1
INTERACTION-000045,1,PRODUCT-000001,1
INTERACTION-000046,1,PRODUCT-000002,1
INTERACTION-000047,1,PRODUCT-000003,1
INTERACTION-000048,1,PRODUCT-000004,1
INTERACTION-000049,1,PRODUCT-000001,1
