observation_id,version_no,hcp_id,product_id,week_ending,trx_count,nrx_count,sales_units
OBS-1-1-0,1,HCP-000001,PRODUCT-000001,2026-07-05,9,3,18
OBS-1-1-1,1,HCP-000001,PRODUCT-000001,2026-07-12,9,3,18
OBS-1-1-2,1,HCP-000001,PRODUCT-000001,2026-07-19,9,3,18
OBS-1-1-3,1,HCP-000001,PRODUCT-000001,2026-07-26,22,7,44
OBS-1-1-4,1,HCP-000001,PRODUCT-000001,2026-08-02,8,2,16
OBS-1-1-5,1,HCP-000001,PRODUCT-000001,2026-08-09,30,10,60
OBS-1-1-6,1,HCP-000001,PRODUCT-000001,2026-08-16,34,11,68
OBS-1-1-7,1,HCP-000001,PRODUCT-000001,2026-08-23,5,1,10
OBS-1-1-8,1,HCP-000001,PRODUCT-000001,2026-08-30,15,5,30
OBS-1-1-9,1,HCP-000001,PRODUCT-000001,2026-09-06,35,11,70
OBS-1-2-0,1,HCP-000001,PRODUCT-000002,2026-07-05,18,6,36
OBS-1-2-1,1,HCP-000001,PRODUCT-000002,2026-07-12,37,12,74
OBS-1-2-2,1,HCP-000001,PRODUCT-000002,2026-07-19,16,5,32
OBS-1-2-3,1,HCP-000001,PRODUCT-000002,2026-07-26,39,13,78
OBS-1-2-4,1,HCP-000001,PRODUCT-000002,2026-08-02,18,6,36
OBS-1-2-5,1,HCP-000001,PRODUCT-000002,2026-08-09,32,10,64
OBS-1-2-6,1,HCP-000001,PRODUCT-000002,2026-08-16,23,7,46
OBS-1-2-7,1,HCP-000001,PRODUCT-000002,2026-08-23,28,9,56
OBS-1-2-8,1,HCP-000001,PRODUCT-000002,2026-08-30,21,7,42
OBS-1-2-9,1,HCP-000001,PRODUCT-000002,2026-09-06,36,12,72
OBS-1-3-0,1,HCP-000001,PRODUCT-000003,2026-07-05,7,2,14
OBS-1-3-1,1,HCP-000001,PRODUCT-000003,2026-07-12,22,7,44
OBS-1-3-2,1,HCP-000001,PRODUCT-000003,2026-07-19,13,4,26
OBS-1-3-3,1,HCP-000001,PRODUCT-000003,2026-07-26,7,2,14
OBS-1-3-4,1,HCP-000001,PRODUCT-000003,2026-08-02,8,2,16
OBS-1-3-5,1,HCP-000001,PRODUCT-000003,2026-08-09,38,12,76
OBS-1-3-6,1,HCP-000001,PRODUCT-000003,2026-08-16,1,0,2
OBS-1-3-7,1,HCP-000001,PRODUCT-000003,2026-08-23,36,12,72
OBS-1-3-8,1,HCP-000001,PRODUCT-000003,2026-08-30,19,6,38
OBS-1-3-9,1,HCP-000001,PRODUCT-000003,2026-09-06,17,5,34
OBS-1-4-0,1,HCP-000001,PRODUCT-000004,2026-07-05,26,8,52
OBS-1-4-1,1,HCP-000001,PRODUCT-000004,2026-07-12,13,4,26
OBS-1-4-2,1,HCP-000001,PRODUCT-000004,2026-07-19,27,9,54
OBS-1-4-3,1,HCP-000001,PRODUCT-000004,2026-07-26,27,9,54
OBS-1-4-4,1,HCP-000001,PRODUCT-000004,2026-08-02,7,2,14
OBS-1-4-5,1,HCP-000001,PRODUCT-000004,2026-08-09,19,6,38
OBS-1-4-6,1,HCP-000001,PRODUCT-000004,2026-08-16,4,1,8
OBS-1-4-7,1,HCP-000001,PRODUCT-000004,2026-08-23,17,5,34
OBS-1-4-8,1,HCP-000001,PRODUCT-000004,2026-08-30,15,5,30
OBS-1-4-9,1,HCP-000001,PRODUCT-000004,2026-09-06,1,0,2
OBS-2-1-0,1,HCP-000002,PRODUCT-000001,2026-07-05,30,10,60
OBS-2-1-1,1,HCP-000002,PRODUCT-000001,2026-07-12,11,3,22
OBS-2-1-2,1,HCP-000002,PRODUCT-000001,2026-07-19,14,4,28
OBS-2-1-3,1,HCP-000002,PRODUCT-000001,2026-07-26,16,5,32
