activity_key,customer_key,activity_date,consent_status
VE_00653c757dde62,IQ_0c1c46bc19d342,2026-07-03,GRANTED
VE_01149db2c601b9,IQ_587a5d52e1a4df,2026-08-20,GRANTED
VE_02c1427e68edd3,IQ_70849c1fe756b7,2026-07-11,GRANTED
VE_02d49b7803e1e1,IQ_9c874b2d595221,2026-07-29,GRANTED
VE_035026a4784f4c,IQ_1b3d6b1cddbd15,2026-09-12,GRANTED
VE_0452810732294c,IQ_05884139b2f597,2026-08-03,GRANTED
VE_0514b9b0767a62,IQ_0ba748be4238c5,2026-07-11,GRANTED
VE_053bae7fb4f754,IQ_93d35e630ae6a9,2026-08-29,GRANTED
VE_084663eac12199,IQ_9c874b2d595221,2026-07-13,GRANTED
VE_084c5e5b70b307,IQ_ea35b752bd7dac,2026-09-01,GRANTED
VE_087e20db7052b4,IQ_076d9a257d3fec,2026-07-31,GRANTED
VE_0a1f915d8d800e,IQ_62144644af5434,2026-07-24,GRANTED
VE_0a1f98d2593e8e,IQ_715da7641aed2d,2026-09-02,GRANTED
VE_0af70f36726f27,IQ_39d652b58996e7,2026-08-21,GRANTED
VE_105318c9e0add8,IQ_25c94f4d88e49a,2026-08-04,GRANTED
VE_10fc78f514f11d,IQ_8574a122b9ffcf,2026-07-13,GRANTED
VE_124e7688dac2d6,IQ_f0ae8bd8f9d2a8,2026-07-28,GRANTED
VE_13242dbf9fa855,IQ_2ed3fcb44618c9,2026-09-12,GRANTED
VE_13ad839962eb23,IQ_0924a6da562c98,2026-07-29,GRANTED
VE_148b10942a5e01,IQ_9618214b0f52fe,2026-08-07,GRANTED
VE_15152ac247e142,IQ_f54562e3c643b5,2026-08-10,GRANTED
VE_153f830bc39476,IQ_59b5871585180e,2026-09-07,GRANTED
VE_15522335e41965,IQ_892ff68c2aaeda,2026-07-01,GRANTED
VE_16fbb472213a02,IQ_25c94f4d88e49a,2026-07-04,GRANTED
VE_17e6e30b37983f,IQ_b9f0f246c1b0e5,2026-07-24,GRANTED
VE_1920f1556e1378,IQ_7aeaa83a0a1c56,2026-08-13,GRANTED
VE_19e7185bb1f7ac,IQ_9c874b2d595221,2026-07-07,GRANTED
VE_1ad38865439a3c,IQ_b742d85b1af394,2026-09-07,GRANTED
VE_1af7f80cf5a7f4,IQ_587a5d52e1a4df,2026-07-22,GRANTED
VE_1b1f346388b9f4,IQ_05884139b2f597,2026-07-27,GRANTED
VE_1b37f3abcbc6ed,IQ_a693ef2a2ce111,2026-09-11,GRANTED
VE_1c4e755ae3a25a,IQ_9b17ca25ee17c9,2026-07-02,GRANTED
VE_1cf9248be752a1,IQ_e14d919e7ea858,2026-07-22,GRANTED
VE_1d625722dad4ca,IQ_2e15f14171efd2,2026-07-06,GRANTED
VE_1e17f305f6768f,IQ_9645247222684b,2026-08-18,GRANTED
VE_1fe73d6270afda,IQ_0924a6da562c98,2026-07-06,GRANTED
VE_200b904b5fd0eb,IQ_2472ae6f311b48,2026-08-03,GRANTED
VE_2010b409aed63a,IQ_52fa506fffb2b4,2026-08-27,GRANTED
VE_2076bebb4be080,IQ_1b727779854ab3,2026-07-24,GRANTED
VE_21c2583eddfad5,IQ_d92c297a26b4ad,2026-07-05,GRANTED
VE_22b27035b848a8,IQ_33101f0c5b3c7f,2026-08-01,GRANTED
VE_231f4f8b19b8e3,IQ_0a303a7880e935,2026-08-15,GRANTED
VE_2561a752704213,IQ_068d08db4e01c0,2026-08-13,GRANTED
VE_2564555190e182,IQ_f54562e3c643b5,2026-08-26,GRANTED
