scenario,record_key,reason
S01,VE_151f19cb0fb5aa,UNMATCHED_CUSTOMER
S01,VE_2f845c92825753,UNMATCHED_CUSTOMER
S01,VE_3246a939bfbf46,WITHDRAWN_OR_UNKNOWN_CONSENT
S01,VE_36299ec6527f45,UNMATCHED_CUSTOMER
S01,VE_40190d0b455a2c,WITHDRAWN_OR_UNKNOWN_CONSENT
S01,VE_5938b31b4738cc,UNMATCHED_CUSTOMER
S01,VE_651a79fcb29601,MISSING_CONSENT
S01,VE_67e26dfe6c51fe,UNMATCHED_CUSTOMER
S01,VE_8bb0839e02d3fb,UNMATCHED_CUSTOMER
S01,VE_a338cf5e3bb904,UNMATCHED_CUSTOMER
S01,VE_ac5732cbf4b2fc,MISSING_CONSENT
S01,VE_d4ba1a046ad7e0,UNMATCHED_CUSTOMER
S01,VE_d814a437362047,WITHDRAWN_OR_UNKNOWN_CONSENT
S01,VE_eb3a4d465487ac,MISSING_CONSENT
S01,VE_ebcbaae9aea6f1,UNMATCHED_CUSTOMER
S02,VE_151f19cb0fb5aa,UNMATCHED_CUSTOMER
S02,VE_2f845c92825753,UNMATCHED_CUSTOMER
S02,VE_36299ec6527f45,UNKNOWN_PRODUCT
S02,VE_36299ec6527f45,UNMATCHED_CUSTOMER
S02,VE_5938b31b4738cc,UNMATCHED_CUSTOMER
S02,VE_67e26dfe6c51fe,UNKNOWN_PRODUCT
S02,VE_67e26dfe6c51fe,UNMATCHED_CUSTOMER
S02,VE_8bb0839e02d3fb,UNMATCHED_CUSTOMER
S02,VE_a338cf5e3bb904,UNMATCHED_CUSTOMER
S02,VE_d4ba1a046ad7e0,UNMATCHED_CUSTOMER
S02,VE_ebcbaae9aea6f1,UNMATCHED_CUSTOMER
S03,IQ_2674a44d322f11,MISSING_TERRITORY
S04,VE_46c95d7387582d,LATE_BEYOND_WINDOW
S04,VE_8c26796d336104,MISSING_REQUIRED
S05,SA_bf4e710b0809bb|SA_73b20b79b78f6d,UNMATCHED_MEMBER
