customer_key,product_code,activity_date,brand,therapy,interaction_count
IQ_01a21f98815364,IQ_d19e228b25b7ab,2026-07-01,SYNTH_BRAND_2,SYNTH_THERAPY_A,1
IQ_01a21f98815364,IQ_d19e228b25b7ab,2026-08-03,SYNTH_BRAND_2,SYNTH_THERAPY_A,1
IQ_05605b3c9aa55e,IQ_cba8d4f6c70cb8,2026-07-09,SYNTH_BRAND_1_REVISED,SYNTH_THERAPY_A,1
IQ_05605b3c9aa55e,IQ_cba8d4f6c70cb8,2026-08-26,SYNTH_BRAND_1_REVISED,SYNTH_THERAPY_A,2
IQ_05884139b2f597,IQ_48c377d7d5a68d,2026-07-21,SYNTH_BRAND_3,SYNTH_THERAPY_B,1
IQ_05884139b2f597,IQ_48c377d7d5a68d,2026-07-27,SYNTH_BRAND_3,SYNTH_THERAPY_B,1
IQ_05884139b2f597,IQ_48c377d7d5a68d,2026-08-03,SYNTH_BRAND_3,SYNTH_THERAPY_B,1
IQ_068d08db4e01c0,IQ_d19e228b25b7ab,2026-08-10,SYNTH_BRAND_2,SYNTH_THERAPY_A,1
IQ_068d08db4e01c0,IQ_d19e228b25b7ab,2026-08-13,SYNTH_BRAND_2,SYNTH_THERAPY_A,1
IQ_068d08db4e01c0,IQ_d19e228b25b7ab,2026-08-15,SYNTH_BRAND_2,SYNTH_THERAPY_A,1
IQ_06a6ec1d2ef8be,IQ_3724bf97128d1c,2026-07-09,SYNTH_BRAND_4,SYNTH_THERAPY_B,1
IQ_06a6ec1d2ef8be,IQ_3724bf97128d1c,2026-07-12,SYNTH_BRAND_4,SYNTH_THERAPY_B,1
IQ_06a6ec1d2ef8be,IQ_3724bf97128d1c,2026-08-24,SYNTH_BRAND_4,SYNTH_THERAPY_B,1
IQ_0761c9286a2f08,IQ_3724bf97128d1c,2026-09-04,SYNTH_BRAND_4,SYNTH_THERAPY_B,1
IQ_0761c9286a2f08,IQ_3724bf97128d1c,2026-09-05,SYNTH_BRAND_4,SYNTH_THERAPY_B,1
IQ_0761c9286a2f08,IQ_3724bf97128d1c,2026-09-06,SYNTH_BRAND_4,SYNTH_THERAPY_B,1
IQ_076d9a257d3fec,IQ_cba8d4f6c70cb8,2026-07-31,SYNTH_BRAND_1_REVISED,SYNTH_THERAPY_A,1
IQ_076d9a257d3fec,IQ_cba8d4f6c70cb8,2026-08-30,SYNTH_BRAND_1_REVISED,SYNTH_THERAPY_A,1
IQ_076d9a257d3fec,IQ_cba8d4f6c70cb8,2026-09-11,SYNTH_BRAND_1_REVISED,SYNTH_THERAPY_A,1
IQ_08def56e473c8b,IQ_cba8d4f6c70cb8,2026-07-11,SYNTH_BRAND_1_REVISED,SYNTH_THERAPY_A,1
IQ_08def56e473c8b,IQ_cba8d4f6c70cb8,2026-08-09,SYNTH_BRAND_1_REVISED,SYNTH_THERAPY_A,1
IQ_08def56e473c8b,IQ_cba8d4f6c70cb8,2026-09-02,SYNTH_BRAND_1_REVISED,SYNTH_THERAPY_A,1
IQ_0924a6da562c98,IQ_3724bf97128d1c,2026-07-04,SYNTH_BRAND_4,SYNTH_THERAPY_B,1
IQ_0924a6da562c98,IQ_48c377d7d5a68d,2026-07-04,SYNTH_BRAND_3,SYNTH_THERAPY_B,1
IQ_0924a6da562c98,IQ_48c377d7d5a68d,2026-07-06,SYNTH_BRAND_3,SYNTH_THERAPY_B,1
IQ_0924a6da562c98,IQ_48c377d7d5a68d,2026-07-29,SYNTH_BRAND_3,SYNTH_THERAPY_B,1
IQ_0a303a7880e935,IQ_3724bf97128d1c,2026-07-16,SYNTH_BRAND_4,SYNTH_THERAPY_B,1
IQ_0a303a7880e935,IQ_3724bf97128d1c,2026-08-11,SYNTH_BRAND_4,SYNTH_THERAPY_B,1
IQ_0a303a7880e935,IQ_3724bf97128d1c,2026-08-15,SYNTH_BRAND_4,SYNTH_THERAPY_B,1
IQ_0a303a7880e935,IQ_cba8d4f6c70cb8,2026-08-15,SYNTH_BRAND_1_REVISED,SYNTH_THERAPY_A,1
IQ_0ba748be4238c5,IQ_48c377d7d5a68d,2026-08-20,SYNTH_BRAND_3,SYNTH_THERAPY_B,1
IQ_0ba748be4238c5,IQ_d19e228b25b7ab,2026-07-11,SYNTH_BRAND_2,SYNTH_THERAPY_A,1
IQ_0ba748be4238c5,IQ_d19e228b25b7ab,2026-08-20,SYNTH_BRAND_2,SYNTH_THERAPY_A,1
IQ_0bbbaaab35ea95,IQ_d19e228b25b7ab,2026-07-04,SYNTH_BRAND_2,SYNTH_THERAPY_A,1
IQ_0bbbaaab35ea95,IQ_d19e228b25b7ab,2026-07-13,SYNTH_BRAND_2,SYNTH_THERAPY_A,1
IQ_0bbbaaab35ea95,IQ_d19e228b25b7ab,2026-09-05,SYNTH_BRAND_2,SYNTH_THERAPY_A,1
IQ_0c1c46bc19d342,IQ_3724bf97128d1c,2026-07-03,SYNTH_BRAND_4,SYNTH_THERAPY_B,1
IQ_0c1c46bc19d342,IQ_3724bf97128d1c,2026-07-08,SYNTH_BRAND_4,SYNTH_THERAPY_B,1
IQ_0c1c46bc19d342,IQ_3724bf97128d1c,2026-07-26,SYNTH_BRAND_4,SYNTH_THERAPY_B,1
IQ_0c1c46bc19d342,IQ_3724bf97128d1c,2026-09-14,SYNTH_BRAND_4,SYNTH_THERAPY_B,1
IQ_0f74fd147c74bd,IQ_3724bf97128d1c,2026-07-17,SYNTH_BRAND_4,SYNTH_THERAPY_B,1
IQ_0f74fd147c74bd,IQ_3724bf97128d1c,2026-09-07,SYNTH_BRAND_4,SYNTH_THERAPY_B,1
IQ_138c14e03ba3ea,IQ_d19e228b25b7ab,2026-08-18,SYNTH_BRAND_2,SYNTH_THERAPY_A,1
IQ_138c14e03ba3ea,IQ_d19e228b25b7ab,2026-09-01,SYNTH_BRAND_2,SYNTH_THERAPY_A,1
IQ_138c14e03ba3ea,IQ_d19e228b25b7ab,2026-09-06,SYNTH_BRAND_2,SYNTH_THERAPY_A,1
