affiliation_key,provider_key,organisation_key,relationship_type,is_primary,effective_from,effective_to
AFF-000001,IQ_fdbb3d15d0fb0f,IQ_051dd3a3caebd7,PRACTISES_AT,true,2026-07-01,
AFF-000002,IQ_0ba748be4238c5,IQ_47323edd520e2f,PRACTISES_AT,true,2026-07-01,
AFF-000003,IQ_98b3077966380e,IQ_f1a4187264f338,PRACTISES_AT,true,2026-07-01,
AFF-000004,IQ_c4d7ac77a3a565,IQ_a8dd57859a32d5,PRACTISES_AT,true,2026-07-01,
AFF-000005,IQ_33101f0c5b3c7f,IQ_27ed195924b1ac,PRACTISES_AT,true,2026-07-01,
AFF-000006,IQ_138c14e03ba3ea,IQ_8d78ae5022ef62,PRACTISES_AT,true,2026-07-01,
AFF-000007,IQ_7e009d7f4fe2aa,IQ_67c47f4c4dba5f,PRACTISES_AT,true,2026-07-01,
AFF-000008,IQ_0c1c46bc19d342,IQ_254a182aab103f,PRACTISES_AT,true,2026-07-01,
AFF-000009,IQ_05605b3c9aa55e,IQ_ffbd03f2b2da03,PRACTISES_AT,true,2026-07-01,
AFF-000010,IQ_62144644af5434,IQ_a0371ddf32ab1f,PRACTISES_AT,true,2026-07-01,
AFF-000011,IQ_c17af42164280c,IQ_d24f39deecd139,PRACTISES_AT,true,2026-07-01,
AFF-000012,IQ_a48ac6570531bf,IQ_975dacb14b0a3e,PRACTISES_AT,true,2026-07-01,
AFF-000013,IQ_be89a3a9a5c2a1,IQ_051dd3a3caebd7,PRACTISES_AT,true,2026-07-01,
AFF-000014,IQ_068d08db4e01c0,IQ_47323edd520e2f,PRACTISES_AT,true,2026-07-01,
AFF-000015,IQ_7201837835a5f2,IQ_f1a4187264f338,PRACTISES_AT,true,2026-07-01,
AFF-000016,IQ_90184cbb052110,IQ_a8dd57859a32d5,PRACTISES_AT,true,2026-07-01,
AFF-000017,IQ_84cf83fad0fc3b,IQ_27ed195924b1ac,PRACTISES_AT,true,2026-07-01,
AFF-000018,IQ_2addb9b1683255,IQ_8d78ae5022ef62,PRACTISES_AT,true,2026-07-01,
AFF-000019,IQ_9645247222684b,IQ_67c47f4c4dba5f,PRACTISES_AT,true,2026-07-01,
AFF-000020,IQ_b77348ba966bc5,IQ_254a182aab103f,PRACTISES_AT,true,2026-07-01,
AFF-000021,IQ_59b5871585180e,IQ_ffbd03f2b2da03,PRACTISES_AT,true,2026-07-01,
AFF-000022,IQ_684faa338cd172,IQ_a0371ddf32ab1f,PRACTISES_AT,true,2026-07-01,
AFF-000023,IQ_25c94f4d88e49a,IQ_d24f39deecd139,PRACTISES_AT,true,2026-07-01,
AFF-000024,IQ_229d78a6df9a94,IQ_975dacb14b0a3e,PRACTISES_AT,true,2026-07-01,
AFF-000025,IQ_52fa506fffb2b4,IQ_051dd3a3caebd7,PRACTISES_AT,true,2026-07-01,
AFF-000026,IQ_e14d919e7ea858,IQ_47323edd520e2f,PRACTISES_AT,true,2026-07-01,
AFF-000027,IQ_51aeb27d07be6b,IQ_f1a4187264f338,PRACTISES_AT,true,2026-07-01,
AFF-000028,IQ_93d35e630ae6a9,IQ_a8dd57859a32d5,PRACTISES_AT,true,2026-07-01,
AFF-000029,IQ_7aeaa83a0a1c56,IQ_27ed195924b1ac,PRACTISES_AT,true,2026-07-01,
AFF-000030,IQ_0bbbaaab35ea95,IQ_8d78ae5022ef62,PRACTISES_AT,true,2026-07-01,
AFF-000031,IQ_f54562e3c643b5,IQ_67c47f4c4dba5f,PRACTISES_AT,true,2026-07-01,
AFF-000032,IQ_be1ad011586236,IQ_254a182aab103f,PRACTISES_AT,true,2026-07-01,
AFF-000033,IQ_892ff68c2aaeda,IQ_ffbd03f2b2da03,PRACTISES_AT,true,2026-07-01,
AFF-000034,IQ_9b17ca25ee17c9,IQ_a0371ddf32ab1f,PRACTISES_AT,true,2026-07-01,
AFF-000035,IQ_05884139b2f597,IQ_d24f39deecd139,PRACTISES_AT,true,2026-07-01,
AFF-000036,IQ_f0ae8bd8f9d2a8,IQ_975dacb14b0a3e,PRACTISES_AT,true,2026-07-01,
AFF-000037,IQ_d92c297a26b4ad,IQ_051dd3a3caebd7,PRACTISES_AT,true,2026-07-01,
AFF-000038,IQ_70849c1fe756b7,IQ_47323edd520e2f,PRACTISES_AT,true,2026-07-01,
AFF-000039,IQ_715da7641aed2d,IQ_f1a4187264f338,PRACTISES_AT,true,2026-07-01,
AFF-000040,IQ_c5eb39b18ca20b,IQ_a8dd57859a32d5,PRACTISES_AT,true,2026-07-01,
AFF-000041,IQ_33b40f57a97926,IQ_27ed195924b1ac,PRACTISES_AT,true,2026-07-01,
AFF-000042,IQ_f83c0c647f07c0,IQ_8d78ae5022ef62,PRACTISES_AT,true,2026-07-01,
AFF-000043,IQ_aa92849fd7cd30,IQ_67c47f4c4dba5f,PRACTISES_AT,true,2026-07-01,
AFF-000044,IQ_06a6ec1d2ef8be,IQ_254a182aab103f,PRACTISES_AT,true,2026-07-01,
AFF-000045,IQ_076d9a257d3fec,IQ_ffbd03f2b2da03,PRACTISES_AT,true,2026-07-01,
AFF-000046,IQ_ad1c6f1f62ce12,IQ_a0371ddf32ab1f,PRACTISES_AT,true,2026-07-01,
AFF-000047,IQ_1b3d6b1cddbd15,IQ_d24f39deecd139,PRACTISES_AT,true,2026-07-01,
AFF-000048,IQ_c555f3d5651536,IQ_975dacb14b0a3e,PRACTISES_AT,true,2026-07-01,
AFF-000049,IQ_cce5e0ba716ecf,IQ_051dd3a3caebd7,PRACTISES_AT,true,2026-07-01,
AFF-000050,IQ_2f9f098695e506,IQ_47323edd520e2f,PRACTISES_AT,true,2026-07-01,
AFF-000051,IQ_9c874b2d595221,IQ_f1a4187264f338,PRACTISES_AT,true,2026-07-01,
AFF-000052,IQ_25dc7ff2807b62,IQ_a8dd57859a32d5,PRACTISES_AT,true,2026-07-01,
AFF-000053,IQ_413c07c026c858,IQ_27ed195924b1ac,PRACTISES_AT,true,2026-07-01,
AFF-000054,IQ_7cd8b403393f76,IQ_8d78ae5022ef62,PRACTISES_AT,true,2026-07-01,
