provider_key,link_token,label,speciality,active,country,postal_sector
IQ_fdbb3d15d0fb0f,SYN_22902bd286fa66da,Synthetic Professional 0001,CARDIOLOGY,true,ZZ,ZZ001
IQ_0ba748be4238c5,SYN_ff35a59fac152735,Synthetic Professional 0002,DERMATOLOGY,true,ZZ,ZZ002
IQ_98b3077966380e,SYN_f8c80c73e27c1148,Synthetic Professional 0003,GENERAL,true,ZZ,ZZ003
IQ_c4d7ac77a3a565,SYN_4d0c5d434a4f6b91,Synthetic Professional 0004,CARDIOLOGY,true,ZZ,ZZ004
IQ_33101f0c5b3c7f,SYN_f0e5ad9760f8060c,Synthetic Professional 0005,DERMATOLOGY,true,ZZ,ZZ005
IQ_138c14e03ba3ea,SYN_fbf2337c93a7976e,Synthetic Professional 0006,GENERAL,true,ZZ,ZZ006
IQ_7e009d7f4fe2aa,SYN_e9e85f2549deb504,Synthetic Professional 0007,CARDIOLOGY,true,ZZ,ZZ007
IQ_0c1c46bc19d342,SYN_a9e287eea25ba99c,Synthetic Professional 0008,DERMATOLOGY,true,ZZ,ZZ008
IQ_05605b3c9aa55e,SYN_8eb5b2d290d07b09,Synthetic Professional 0009,GENERAL,true,ZZ,ZZ009
IQ_62144644af5434,SYN_b9ec1fa487de27ed,Synthetic Professional 0010,CARDIOLOGY,true,ZZ,ZZ010
IQ_c17af42164280c,SYN_83645dc6dcfd7de4,Synthetic Professional 0011,DERMATOLOGY,true,ZZ,ZZ011
IQ_a48ac6570531bf,SYN_784045877e018b70,Synthetic Professional 0012,GENERAL,true,ZZ,ZZ012
IQ_be89a3a9a5c2a1,SYN_dba0c8046401e679,Synthetic Professional 0013,CARDIOLOGY,true,ZZ,ZZ013
IQ_068d08db4e01c0,SYN_7e1e1151d92812a4,Synthetic Professional 0014,DERMATOLOGY,true,ZZ,ZZ014
IQ_7201837835a5f2,SYN_f34fd8491fc817da,Synthetic Professional 0015,GENERAL,true,ZZ,ZZ015
IQ_90184cbb052110,SYN_a8edc1388b242bb7,Synthetic Professional 0016,CARDIOLOGY,true,ZZ,ZZ016
IQ_84cf83fad0fc3b,SYN_2b4a765abb2f1f9a,Synthetic Professional 0017,DERMATOLOGY,true,ZZ,ZZ017
IQ_2addb9b1683255,SYN_f8c81171d47fe538,Synthetic Professional 0018,GENERAL,true,ZZ,ZZ018
IQ_9645247222684b,SYN_e9e9e07b3fb294b2,Synthetic Professional 0019,CARDIOLOGY,true,ZZ,ZZ019
IQ_b77348ba966bc5,SYN_5eece700511df62e,Synthetic Professional 0020,DERMATOLOGY,true,ZZ,ZZ000
IQ_59b5871585180e,SYN_eef14699c911d768,Synthetic Professional 0021,GENERAL,true,ZZ,ZZ001
IQ_684faa338cd172,SYN_0037e882fd2d3247,Synthetic Professional 0022,CARDIOLOGY,true,ZZ,ZZ002
IQ_25c94f4d88e49a,SYN_d217833ff5bb341d,Synthetic Professional 0023,DERMATOLOGY,true,ZZ,ZZ003
IQ_229d78a6df9a94,SYN_93aa58258c49ef59,Synthetic Professional 0024,GENERAL,true,ZZ,ZZ004
IQ_52fa506fffb2b4,SYN_76a8b689d12edde2,Synthetic Professional 0025,CARDIOLOGY,true,ZZ,ZZ005
IQ_e14d919e7ea858,SYN_4af15e769d5963db,Synthetic Professional 0026,DERMATOLOGY,true,ZZ,ZZ006
IQ_51aeb27d07be6b,SYN_53e00a88c48ade28,Synthetic Professional 0027,GENERAL,true,ZZ,ZZ007
IQ_93d35e630ae6a9,SYN_1b2dacca56264462,Synthetic Professional 0028,CARDIOLOGY,true,ZZ,ZZ008
IQ_7aeaa83a0a1c56,SYN_f3d00445a494878c,Synthetic Professional 0029,DERMATOLOGY,true,ZZ,ZZ009
IQ_0bbbaaab35ea95,SYN_9289162a5b05877e,Synthetic Professional 0030,GENERAL,true,ZZ,ZZ010
IQ_f54562e3c643b5,SYN_7a2cf5658a352575,Synthetic Professional 0031,CARDIOLOGY,true,ZZ,ZZ011
IQ_be1ad011586236,SYN_e260ba99a54a20ac,Synthetic Professional 0032,DERMATOLOGY,true,ZZ,ZZ012
IQ_892ff68c2aaeda,SYN_dce6097f5841a7a9,Synthetic Professional 0033,GENERAL,true,ZZ,ZZ013
IQ_9b17ca25ee17c9,SYN_d98a35ced9d5ca2d,Synthetic Professional 0034,CARDIOLOGY,true,ZZ,ZZ014
IQ_05884139b2f597,SYN_de9d82cad775eeb1,Synthetic Professional 0035,DERMATOLOGY,true,ZZ,ZZ015
IQ_f0ae8bd8f9d2a8,SYN_e8eaf9196fe68636,Synthetic Professional 0036,GENERAL,true,ZZ,ZZ016
IQ_d92c297a26b4ad,SYN_17b0b962b9e22fff,Synthetic Professional 0037,CARDIOLOGY,true,ZZ,ZZ017
IQ_70849c1fe756b7,SYN_aadf96617146c7d0,Synthetic Professional 0038,DERMATOLOGY,true,ZZ,ZZ018
IQ_715da7641aed2d,SYN_1416e768b31c4d94,Synthetic Professional 0039,GENERAL,true,ZZ,ZZ019
IQ_c5eb39b18ca20b,SYN_287f1d08a3a9da42,Synthetic Professional 0040,CARDIOLOGY,true,ZZ,ZZ000
IQ_33b40f57a97926,SYN_233c247fe449c58f,Synthetic Professional 0041,DERMATOLOGY,true,ZZ,ZZ001
IQ_f83c0c647f07c0,SYN_8960e2aa5216c9c6,Synthetic Professional 0042,GENERAL,true,ZZ,ZZ002
IQ_aa92849fd7cd30,SYN_7f04b4f7cfffffe5,Synthetic Professional 0043,CARDIOLOGY,true,ZZ,ZZ003
IQ_06a6ec1d2ef8be,SYN_2af6d0c451f6e11f,Synthetic Professional 0044,DERMATOLOGY,true,ZZ,ZZ004
IQ_076d9a257d3fec,SYN_b33f6c85ef7c4080,Synthetic Professional 0045,GENERAL,true,ZZ,ZZ005
IQ_ad1c6f1f62ce12,SYN_1cfcb9e74ace8df1,Synthetic Professional 0046,CARDIOLOGY,true,ZZ,ZZ006
IQ_1b3d6b1cddbd15,SYN_8ada48ad05601f26,Synthetic Professional 0047,DERMATOLOGY,true,ZZ,ZZ007
IQ_c555f3d5651536,SYN_acb2e280bc075f93,Synthetic Professional 0048,GENERAL,true,ZZ,ZZ008
IQ_cce5e0ba716ecf,SYN_59ad38d536f16ec2,Synthetic Professional 0049,CARDIOLOGY,true,ZZ,ZZ009
IQ_2f9f098695e506,SYN_412b77a12f814f80,Synthetic Professional 0050,DERMATOLOGY,true,ZZ,ZZ010
IQ_9c874b2d595221,SYN_0528fc397012c23e,Synthetic Professional 0051,GENERAL,true,ZZ,ZZ011
IQ_25dc7ff2807b62,SYN_738678924863326a,Synthetic Professional 0052,CARDIOLOGY,true,ZZ,ZZ012
IQ_413c07c026c858,SYN_0e45b92bb2471897,Synthetic Professional 0053,DERMATOLOGY,true,ZZ,ZZ013
IQ_7cd8b403393f76,SYN_e61796f5e0679f17,Synthetic Professional 0054,GENERAL,true,ZZ,ZZ014
IQ_0924a6da562c98,SYN_79bf48d7db8d95ca,Synthetic Professional 0055,CARDIOLOGY,true,ZZ,ZZ015
IQ_f99c4fc261de3c,SYN_ac7933547958891f,Synthetic Professional 0056,DERMATOLOGY,true,ZZ,ZZ016
IQ_21d1ec50b3e069,SYN_57cc24d7138c6162,Synthetic Professional 0057,GENERAL,true,ZZ,ZZ017
IQ_b9f0f246c1b0e5,SYN_af9e6abd3da86c11,Synthetic Professional 0058,CARDIOLOGY,true,ZZ,ZZ018
IQ_6648ea2780803e,SYN_3854691480555b28,Synthetic Professional 0059,DERMATOLOGY,true,ZZ,ZZ019
IQ_54eb2f31fd81c4,SYN_12d5aae56d37e187,Synthetic Professional 0060,GENERAL,true,ZZ,ZZ000
IQ_d29d3ced32b323,SYN_b42e7f9524e3e4bc,Synthetic Professional 0061,CARDIOLOGY,true,ZZ,ZZ001
IQ_3dfe85e7cae767,SYN_6f3e36d6ffec1f3f,Synthetic Professional 0062,DERMATOLOGY,true,ZZ,ZZ002
IQ_7b0a140e80e73a,SYN_e06f7505ca36e2d0,Synthetic Professional 0063,GENERAL,true,ZZ,ZZ003
IQ_0f74fd147c74bd,SYN_ed766ab7118eb5bf,Synthetic Professional 0064,CARDIOLOGY,true,ZZ,ZZ004
IQ_48d6b84c70a4f2,SYN_d60bcce2d451a1c1,Synthetic Professional 0065,DERMATOLOGY,true,ZZ,ZZ005
IQ_6f1507ed9f081a,SYN_52a5bdef90e907aa,Synthetic Professional 0066,GENERAL,true,ZZ,ZZ006
IQ_2e15f14171efd2,SYN_972627cee63be583,Synthetic Professional 0067,CARDIOLOGY,true,ZZ,ZZ007
IQ_f559fad81801dc,SYN_f779434eed2152b2,Synthetic Professional 0068,DERMATOLOGY,true,ZZ,ZZ008
IQ_587a5d52e1a4df,SYN_3270817fe45db0c0,Synthetic Professional 0069,GENERAL,true,ZZ,ZZ009
IQ_27d47adc2955b8,SYN_df6b48c060b89075,Synthetic Professional 0070,CARDIOLOGY,true,ZZ,ZZ010
IQ_d8bc48cc73427b,SYN_f8674aaec106f9a2,Synthetic Professional 0071,DERMATOLOGY,true,ZZ,ZZ011
IQ_0a303a7880e935,SYN_f91df19e11729198,Synthetic Professional 0072,GENERAL,true,ZZ,ZZ012
IQ_08def56e473c8b,SYN_da72b9a730eaa3fe,Synthetic Professional 0073,CARDIOLOGY,true,ZZ,ZZ013
IQ_a693ef2a2ce111,SYN_de093a70cc723c4f,Synthetic Professional 0074,DERMATOLOGY,true,ZZ,ZZ014
IQ_212e5067a55b64,SYN_63797cf8674fac63,Synthetic Professional 0075,GENERAL,true,ZZ,ZZ015
IQ_ea35b752bd7dac,SYN_cf938f8999eaa7ec,Synthetic Professional 0076,CARDIOLOGY,true,ZZ,ZZ016
