observation_key,provider_key,product_code,week_ending,trx_count,nrx_count,sales_units,version_no
OBS-1-1-0,IQ_fdbb3d15d0fb0f,IQ_cba8d4f6c70cb8,2026-07-05,9,3,18,1
OBS-1-1-1,IQ_fdbb3d15d0fb0f,IQ_cba8d4f6c70cb8,2026-07-12,9,3,18,1
OBS-1-1-2,IQ_fdbb3d15d0fb0f,IQ_cba8d4f6c70cb8,2026-07-19,9,3,18,1
OBS-1-1-3,IQ_fdbb3d15d0fb0f,IQ_cba8d4f6c70cb8,2026-07-26,22,7,44,1
OBS-1-1-4,IQ_fdbb3d15d0fb0f,IQ_cba8d4f6c70cb8,2026-08-02,8,2,16,1
OBS-1-1-5,IQ_fdbb3d15d0fb0f,IQ_cba8d4f6c70cb8,2026-08-09,30,10,60,1
OBS-1-1-6,IQ_fdbb3d15d0fb0f,IQ_cba8d4f6c70cb8,2026-08-16,34,11,68,1
OBS-1-1-7,IQ_fdbb3d15d0fb0f,IQ_cba8d4f6c70cb8,2026-08-23,5,1,10,1
OBS-1-1-8,IQ_fdbb3d15d0fb0f,IQ_cba8d4f6c70cb8,2026-08-30,15,5,30,1
OBS-1-1-9,IQ_fdbb3d15d0fb0f,IQ_cba8d4f6c70cb8,2026-09-06,35,11,70,1
OBS-1-2-0,IQ_fdbb3d15d0fb0f,IQ_d19e228b25b7ab,2026-07-05,18,6,36,1
OBS-1-2-1,IQ_fdbb3d15d0fb0f,IQ_d19e228b25b7ab,2026-07-12,37,12,74,1
OBS-1-2-2,IQ_fdbb3d15d0fb0f,IQ_d19e228b25b7ab,2026-07-19,16,5,32,1
OBS-1-2-3,IQ_fdbb3d15d0fb0f,IQ_d19e228b25b7ab,2026-07-26,39,13,78,1
OBS-1-2-4,IQ_fdbb3d15d0fb0f,IQ_d19e228b25b7ab,2026-08-02,18,6,36,1
OBS-1-2-5,IQ_fdbb3d15d0fb0f,IQ_d19e228b25b7ab,2026-08-09,32,10,64,1
OBS-1-2-6,IQ_fdbb3d15d0fb0f,IQ_d19e228b25b7ab,2026-08-16,23,7,46,1
OBS-1-2-7,IQ_fdbb3d15d0fb0f,IQ_d19e228b25b7ab,2026-08-23,28,9,56,1
OBS-1-2-8,IQ_fdbb3d15d0fb0f,IQ_d19e228b25b7ab,2026-08-30,21,7,42,1
