assignment_key,provider_key,territory_code,effective_from,effective_to
ASSIGN-000001,IQ_fdbb3d15d0fb0f,VE_106615cdd9ff03,2026-07-01,
ASSIGN-000002,IQ_0ba748be4238c5,VE_4fba8ad2115c09,2026-07-01,
ASSIGN-000003,IQ_98b3077966380e,VE_67198edffeb7a6,2026-07-01,
ASSIGN-000004,IQ_c4d7ac77a3a565,VE_b2208522e148c6,2026-07-01,
ASSIGN-000005,IQ_33101f0c5b3c7f,VE_106615cdd9ff03,2026-07-01,
ASSIGN-000006,IQ_138c14e03ba3ea,VE_4fba8ad2115c09,2026-07-01,
ASSIGN-000007,IQ_7e009d7f4fe2aa,VE_67198edffeb7a6,2026-07-01,
ASSIGN-000008,IQ_0c1c46bc19d342,VE_b2208522e148c6,2026-07-01,
ASSIGN-000009,IQ_05605b3c9aa55e,VE_106615cdd9ff03,2026-07-01,
ASSIGN-000010,IQ_62144644af5434,VE_4fba8ad2115c09,2026-07-01,
ASSIGN-000011,IQ_c17af42164280c,VE_67198edffeb7a6,2026-07-01,
ASSIGN-000012,IQ_a48ac6570531bf,VE_b2208522e148c6,2026-07-01,
ASSIGN-000013,IQ_be89a3a9a5c2a1,VE_106615cdd9ff03,2026-07-01,
ASSIGN-000014,IQ_068d08db4e01c0,VE_4fba8ad2115c09,2026-07-01,
ASSIGN-000015,IQ_7201837835a5f2,VE_67198edffeb7a6,2026-07-01,
ASSIGN-000016,IQ_90184cbb052110,VE_b2208522e148c6,2026-07-01,
ASSIGN-000017,IQ_84cf83fad0fc3b,VE_106615cdd9ff03,2026-07-01,
ASSIGN-000018,IQ_2addb9b1683255,VE_4fba8ad2115c09,2026-07-01,
ASSIGN-000019,IQ_9645247222684b,VE_67198edffeb7a6,2026-07-01,
ASSIGN-000020,IQ_b77348ba966bc5,VE_b2208522e148c6,2026-07-01,
ASSIGN-000021,IQ_59b5871585180e,VE_106615cdd9ff03,2026-07-01,
ASSIGN-000022,IQ_684faa338cd172,VE_4fba8ad2115c09,2026-07-01,
ASSIGN-000023,IQ_25c94f4d88e49a,VE_67198edffeb7a6,2026-07-01,
ASSIGN-000024,IQ_229d78a6df9a94,VE_b2208522e148c6,2026-07-01,
ASSIGN-000025,IQ_52fa506fffb2b4,VE_106615cdd9ff03,2026-07-01,
ASSIGN-000026,IQ_e14d919e7ea858,VE_4fba8ad2115c09,2026-07-01,
