membership_key,campaign_key,contact_key,member_status
MEM-1-1,SA_bf4e710b0809bb,SA_e9999d59d0bbe7,ENROLLED
MEM-1-2,SA_bf4e710b0809bb,SA_76c6e2244dad8c,ENROLLED
MEM-1-3,SA_bf4e710b0809bb,SA_ee7219d62c677a,ENROLLED
MEM-1-4,SA_bf4e710b0809bb,SA_33b1a2d01e4469,ENROLLED
MEM-1-5,SA_bf4e710b0809bb,SA_1b302ae93348ad,ENROLLED
MEM-1-6,SA_bf4e710b0809bb,SA_111a6ae58c687d,ENROLLED
MEM-1-7,SA_bf4e710b0809bb,SA_163c89a73b8e1f,ENROLLED
MEM-1-8,SA_bf4e710b0809bb,SA_b40fb8ad12ed36,ENROLLED
MEM-1-9,SA_bf4e710b0809bb,SA_478c6b2c395949,ENROLLED
MEM-1-10,SA_bf4e710b0809bb,SA_3444dcc4ed66ee,ENROLLED
MEM-1-11,SA_bf4e710b0809bb,SA_5f4650047ada1a,ENROLLED
MEM-1-12,SA_bf4e710b0809bb,SA_b9c9dfeb07443b,ENROLLED
MEM-1-13,SA_bf4e710b0809bb,SA_19032ceeaed724,ENROLLED
MEM-1-14,SA_bf4e710b0809bb,SA_7a0827010a700a,ENROLLED
MEM-1-15,SA_bf4e710b0809bb,SA_972d06495e4a1e,ENROLLED
MEM-1-16,SA_bf4e710b0809bb,SA_43cc8bde746cc3,ENROLLED
MEM-1-17,SA_bf4e710b0809bb,SA_47b1841960d23a,ENROLLED
MEM-1-18,SA_bf4e710b0809bb,SA_151030765bb7d1,ENROLLED
MEM-1-19,SA_bf4e710b0809bb,SA_7f057a26b79b46,ENROLLED
MEM-1-100,SA_bf4e710b0809bb,SA_73b20b79b78f6d,ENROLLED
MEM-2-21,SA_318a40d483dc2e,SA_83d1314867b3a8,ENROLLED
MEM-2-22,SA_318a40d483dc2e,SA_779fa4586640f1,ENROLLED
MEM-2-23,SA_318a40d483dc2e,SA_84f326964d81a6,ENROLLED
MEM-2-24,SA_318a40d483dc2e,SA_69d2cbadbe91b8,ENROLLED
MEM-2-25,SA_318a40d483dc2e,SA_a498d226e9e65b,ENROLLED
MEM-2-26,SA_318a40d483dc2e,SA_c258fec6e094c4,ENROLLED
MEM-2-27,SA_318a40d483dc2e,SA_8f4f577a672821,ENROLLED
MEM-2-28,SA_318a40d483dc2e,SA_52eadc63325fa5,ENROLLED
MEM-2-29,SA_318a40d483dc2e,SA_e01c655f194bb7,ENROLLED
MEM-2-30,SA_318a40d483dc2e,SA_a1938091da94bb,ENROLLED
MEM-2-31,SA_318a40d483dc2e,SA_aa3f50b6a3f7ce,ENROLLED
MEM-2-32,SA_318a40d483dc2e,SA_34ac4de7343409,ENROLLED
MEM-2-33,SA_318a40d483dc2e,SA_d046771707ed80,ENROLLED
MEM-2-34,SA_318a40d483dc2e,SA_bf2c5647116103,ENROLLED
MEM-2-35,SA_318a40d483dc2e,SA_9cb1d3a6a92422,ENROLLED
MEM-2-36,SA_318a40d483dc2e,SA_9c9ad8ab181ce2,ENROLLED
MEM-2-37,SA_318a40d483dc2e,SA_53b6231b66b606,ENROLLED
MEM-2-38,SA_318a40d483dc2e,SA_17ed83153a4cbb,ENROLLED
