preference_key,contact_key,channel,purpose,status,effective_at,sequence_no
CONSENT-000001,SA_e9999d59d0bbe7,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000002,SA_76c6e2244dad8c,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000003,SA_ee7219d62c677a,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000005,SA_1b302ae93348ad,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000006,SA_111a6ae58c687d,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000007,SA_163c89a73b8e1f,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000008,SA_b40fb8ad12ed36,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000009,SA_478c6b2c395949,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000010,SA_3444dcc4ed66ee,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000011,SA_5f4650047ada1a,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000012,SA_b9c9dfeb07443b,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000013,SA_19032ceeaed724,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000014,SA_7a0827010a700a,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000015,SA_972d06495e4a1e,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000016,SA_43cc8bde746cc3,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000017,SA_47b1841960d23a,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000018,SA_151030765bb7d1,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000019,SA_7f057a26b79b46,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000020,SA_9952fece5ab43c,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000021,SA_83d1314867b3a8,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000022,SA_779fa4586640f1,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000023,SA_84f326964d81a6,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000024,SA_69d2cbadbe91b8,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000025,SA_a498d226e9e65b,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000026,SA_c258fec6e094c4,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000027,SA_8f4f577a672821,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000028,SA_52eadc63325fa5,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000029,SA_e01c655f194bb7,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
