activity_key,customer_key,primary_product_code,occurred_at,channel,approval,duration_minutes,source_version,modified_at,operation
VE_8a40eb4384d07d,VE_c6b7040fb7a98c,IQ_cba8d4f6c70cb8,2026-07-13T12:00:00Z,EMAIL,APPROVED,11,1,2026-07-13T12:00:00Z,UPSERT
VE_8a40eb4384d07d,VE_c6b7040fb7a98c,IQ_cba8d4f6c70cb8,2026-07-13T12:00:00Z,EMAIL,APPROVED,11,1,2026-07-13T12:00:00Z,UPSERT
VE_3d2ac4e3788074,VE_31a3a0f8a81439,IQ_d19e228b25b7ab,2026-08-14T12:00:00Z,EMAIL,APPROVED,12,1,2026-08-14T12:00:00Z,UPSERT
VE_40190d0b455a2c,VE_57484a45fffec8,IQ_48c377d7d5a68d,2026-07-18T12:00:00Z,EMAIL,APPROVED,13,1,2026-07-18T12:00:00Z,UPSERT
VE_651a79fcb29601,VE_240013df99b8c8,IQ_3724bf97128d1c,2026-08-13T12:00:00Z,EMAIL,APPROVED,14,1,2026-08-13T12:00:00Z,UPSERT
VE_22b27035b848a8,VE_ae60d094f8549e,IQ_cba8d4f6c70cb8,2026-08-01T00:00:00Z,EMAIL,APPROVED,15,1,2026-08-01T00:00:00Z,UPSERT
VE_8333e280068dc8,VE_0b1430679680d7,IQ_d19e228b25b7ab,2026-09-01T00:00:00Z,EMAIL,APPROVED,16,1,2026-09-01T00:00:00Z,UPSERT
VE_5cf7a416594cf7,VE_7d0ce0b3e5ffbf,IQ_48c377d7d5a68d,2026-08-05T12:00:00Z,EMAIL,APPROVED,17,1,2026-08-05T12:00:00Z,UPSERT
VE_8674d1c944145b,VE_2f4f56cf6441c8,IQ_3724bf97128d1c,2026-07-08T12:00:00Z,EMAIL,APPROVED,18,1,2026-07-08T12:00:00Z,UPSERT
VE_f8e4caf96fbe96,VE_e672f7d34880c7,IQ_cba8d4f6c70cb8,2026-07-09T12:00:00Z,EMAIL,APPROVED,19,1,2026-07-09T12:00:00Z,UPSERT
VE_51ebdf0e1d4197,VE_caa1826d9da127,IQ_d19e228b25b7ab,2026-08-24T12:00:00Z,EMAIL,APPROVED,20,1,2026-08-24T12:00:00Z,UPSERT
VE_6f3b28369ca039,VE_17144e8483d330,IQ_48c377d7d5a68d,2026-07-12T12:00:00Z,EMAIL,APPROVED,21,1,2026-07-12T12:00:00Z,UPSERT
VE_f7c99be0b95a62,VE_a56c4575d84ccb,IQ_3724bf97128d1c,2026-09-07T12:00:00Z,EMAIL,APPROVED,22,1,2026-09-07T12:00:00Z,UPSERT
VE_687d712517430a,VE_41d0d49d391d42,IQ_cba8d4f6c70cb8,2026-07-03T12:00:00Z,EMAIL,APPROVED,23,1,2026-07-03T12:00:00Z,UPSERT
VE_c0d4debab11d94,VE_e208892fd1b42f,IQ_d19e228b25b7ab,2026-08-10T12:00:00Z,EMAIL,APPROVED,24,1,2026-08-10T12:00:00Z,UPSERT
VE_d76753bcca1c6d,VE_7fc9722830644c,IQ_48c377d7d5a68d,2026-07-04T12:00:00Z,EMAIL,APPROVED,25,1,2026-07-04T12:00:00Z,UPSERT
VE_5c740d97941c56,VE_c44f7fbdeac984,IQ_3724bf97128d1c,2026-08-19T12:00:00Z,EMAIL,APPROVED,26,1,2026-08-19T12:00:00Z,UPSERT
VE_a0c3e79dccd24d,VE_75d738699b6ef0,IQ_cba8d4f6c70cb8,2026-07-01T12:00:00Z,EMAIL,APPROVED,27,1,2026-07-01T12:00:00Z,UPSERT
VE_4dc1bfcf9a8e23,VE_c00926e0b327f9,IQ_d19e228b25b7ab,2026-07-05T12:00:00Z,EMAIL,APPROVED,28,1,2026-07-05T12:00:00Z,UPSERT
VE_be69b0b9fcc9cc,VE_81ca31a1e88833,IQ_48c377d7d5a68d,2026-09-02T12:00:00Z,EMAIL,APPROVED,29,1,2026-09-02T12:00:00Z,UPSERT
VE_3e6e185d9666fa,VE_779a079e577f08,IQ_3724bf97128d1c,2026-07-30T12:00:00Z,EMAIL,APPROVED,30,1,2026-07-30T12:00:00Z,UPSERT
VE_153f830bc39476,VE_db3fe124ab6f17,IQ_cba8d4f6c70cb8,2026-09-07T12:00:00Z,EMAIL,APPROVED,10,1,2026-09-07T12:00:00Z,UPSERT
VE_a4736028790d0c,VE_0387ad79b4e4b3,IQ_d19e228b25b7ab,2026-07-04T12:00:00Z,EMAIL,APPROVED,11,1,2026-07-04T12:00:00Z,UPSERT
VE_105318c9e0add8,VE_23a8f3faa039bf,IQ_48c377d7d5a68d,2026-08-04T12:00:00Z,EMAIL,APPROVED,12,1,2026-08-04T12:00:00Z,UPSERT
VE_f625a1c944697d,VE_f81c850be875e1,IQ_3724bf97128d1c,2026-09-09T12:00:00Z,EMAIL,APPROVED,13,1,2026-09-09T12:00:00Z,UPSERT
VE_6698e9ca0552db,VE_84640e91065f71,IQ_cba8d4f6c70cb8,2026-09-07T12:00:00Z,EMAIL,APPROVED,14,1,2026-09-07T12:00:00Z,UPSERT
VE_1cf9248be752a1,VE_1279a81fcfdee5,IQ_d19e228b25b7ab,2026-07-22T12:00:00Z,EMAIL,APPROVED,15,1,2026-07-22T12:00:00Z,UPSERT
VE_790646921937d5,VE_675ee3e7ae6a11,IQ_48c377d7d5a68d,2026-07-17T12:00:00Z,EMAIL,APPROVED,16,1,2026-07-17T12:00:00Z,UPSERT
VE_859e17b9f15ba8,VE_f305264f4a05dc,IQ_3724bf97128d1c,2026-08-11T12:00:00Z,EMAIL,APPROVED,17,1,2026-08-11T12:00:00Z,UPSERT
VE_b783f945356fa5,VE_9dee3b61be2d62,IQ_cba8d4f6c70cb8,2026-08-30T12:00:00Z,EMAIL,APPROVED,18,1,2026-08-30T12:00:00Z,UPSERT
VE_d1a48d69d0833b,VE_81f6b66699db76,IQ_d19e228b25b7ab,2026-07-13T12:00:00Z,EMAIL,APPROVED,19,1,2026-07-13T12:00:00Z,UPSERT
VE_854ba74b377873,VE_2a19d43e52f37b,IQ_48c377d7d5a68d,2026-07-13T12:00:00Z,EMAIL,APPROVED,20,1,2026-07-13T12:00:00Z,UPSERT
VE_b8c45300640936,VE_97754d018e4907,IQ_3724bf97128d1c,2026-07-11T12:00:00Z,EMAIL,APPROVED,21,1,2026-07-11T12:00:00Z,UPSERT
VE_15522335e41965,VE_b2afa7698fab12,IQ_cba8d4f6c70cb8,2026-07-01T12:00:00Z,EMAIL,APPROVED,22,1,2026-07-01T12:00:00Z,UPSERT
VE_1c4e755ae3a25a,VE_fe2ebb14688de2,IQ_d19e228b25b7ab,2026-07-02T12:00:00Z,EMAIL,APPROVED,23,1,2026-07-02T12:00:00Z,UPSERT
VE_1b1f346388b9f4,VE_15bc1b45477893,IQ_48c377d7d5a68d,2026-07-27T12:00:00Z,EMAIL,APPROVED,24,1,2026-07-27T12:00:00Z,UPSERT
VE_e0a478708d1f27,VE_ad38ba94dcb017,IQ_3724bf97128d1c,2026-08-03T12:00:00Z,EMAIL,APPROVED,25,1,2026-08-03T12:00:00Z,UPSERT
VE_f7f87c3d7ed447,VE_dedb7fcf67b345,IQ_cba8d4f6c70cb8,2026-07-20T12:00:00Z,EMAIL,APPROVED,26,1,2026-07-20T12:00:00Z,UPSERT
VE_02c1427e68edd3,VE_4e50d8271682f7,IQ_d19e228b25b7ab,2026-07-11T12:00:00Z,EMAIL,APPROVED,27,1,2026-07-11T12:00:00Z,UPSERT
VE_0a1f98d2593e8e,VE_74d00caa618852,IQ_48c377d7d5a68d,2026-09-02T12:00:00Z,EMAIL,APPROVED,28,1,2026-09-02T12:00:00Z,UPSERT
VE_cea2fbeca3b3fe,VE_2609792d97c823,IQ_3724bf97128d1c,2026-08-16T12:00:00Z,EMAIL,APPROVED,29,1,2026-08-16T12:00:00Z,UPSERT
VE_71dd35dbfe59ef,VE_4c37d97b8c53e7,IQ_cba8d4f6c70cb8,2026-08-02T12:00:00Z,EMAIL,DRAFT,30,1,2026-08-02T12:00:00Z,UPSERT
VE_9abc34684d457a,VE_d3c9771a994b42,IQ_d19e228b25b7ab,2026-07-02T12:00:00Z,EMAIL,APPROVED,10,1,2026-07-02T12:00:00Z,UPSERT
VE_f19cb7dc11f983,VE_e80eca73e25fe7,IQ_48c377d7d5a68d,2026-08-24T12:00:00Z,EMAIL,APPROVED,11,1,2026-08-24T12:00:00Z,UPSERT
VE_3342637e9a3b6a,VE_e2b5497492f11c,IQ_3724bf97128d1c,2026-08-24T12:00:00Z,EMAIL,APPROVED,12,1,2026-08-24T12:00:00Z,UPSERT
VE_2c9e23bd7615a9,VE_eefc41fb5aab65,IQ_cba8d4f6c70cb8,2026-09-11T12:00:00Z,EMAIL,APPROVED,13,1,2026-09-11T12:00:00Z,UPSERT
VE_2578f08c33db1e,VE_3f5080f894551b,IQ_d19e228b25b7ab,2026-09-04T12:00:00Z,EMAIL,APPROVED,14,1,2026-09-04T12:00:00Z,UPSERT
VE_4290f3742277b8,VE_d594f985023f04,IQ_48c377d7d5a68d,2026-07-29T12:00:00Z,EMAIL,APPROVED,15,1,2026-07-29T12:00:00Z,UPSERT
VE_e1b3c45b92d8be,VE_f8dd3a8fa63c4a,IQ_3724bf97128d1c,2026-07-14T12:00:00Z,EMAIL,APPROVED,16,1,2026-07-14T12:00:00Z,UPSERT
VE_f611640e3cedac,VE_88a90aa2c137c1,IQ_cba8d4f6c70cb8,2026-07-09T12:00:00Z,EMAIL,APPROVED,17,1,2026-07-09T12:00:00Z,UPSERT
VE_d5cf868ebed0e4,VE_ace6ee6cd02945,IQ_d19e228b25b7ab,2026-07-11T12:00:00Z,EMAIL,APPROVED,18,1,2026-07-11T12:00:00Z,UPSERT
VE_02d49b7803e1e1,VE_995191e9382527,IQ_48c377d7d5a68d,2026-07-29T12:00:00Z,EMAIL,APPROVED,19,1,2026-07-29T12:00:00Z,UPSERT
VE_34469e3d293212,VE_bf5f61bbfff26e,IQ_3724bf97128d1c,2026-07-24T12:00:00Z,EMAIL,APPROVED,20,1,2026-07-24T12:00:00Z,UPSERT
VE_3934164344df4b,VE_63a9e38e2490cc,IQ_cba8d4f6c70cb8,2026-07-06T12:00:00Z,EMAIL,APPROVED,21,1,2026-07-06T12:00:00Z,UPSERT
VE_38c70e310163a3,VE_a97c1b3c676ba5,IQ_d19e228b25b7ab,2026-08-26T12:00:00Z,EMAIL,APPROVED,22,1,2026-08-26T12:00:00Z,UPSERT
VE_13ad839962eb23,VE_0c0deaa2cf5a50,IQ_48c377d7d5a68d,2026-07-29T12:00:00Z,EMAIL,APPROVED,23,1,2026-07-29T12:00:00Z,UPSERT
VE_ae6b919968e5fa,VE_9833298f6e2802,IQ_3724bf97128d1c,2026-07-24T12:00:00Z,EMAIL,APPROVED,24,1,2026-07-24T12:00:00Z,UPSERT
VE_8de22cede4b52d,VE_f48ec414c4edfd,IQ_cba8d4f6c70cb8,2026-09-10T12:00:00Z,EMAIL,APPROVED,25,1,2026-09-10T12:00:00Z,UPSERT
VE_399a9c65f8d989,VE_d0a5ec14269126,IQ_d19e228b25b7ab,2026-09-12T12:00:00Z,EMAIL,APPROVED,26,1,2026-09-12T12:00:00Z,UPSERT
VE_94a11c6c1575e1,VE_454d13b422b05e,IQ_48c377d7d5a68d,2026-08-30T12:00:00Z,EMAIL,APPROVED,27,1,2026-08-30T12:00:00Z,UPSERT
VE_3852f0c965d688,VE_ac433e607f743e,IQ_3724bf97128d1c,2026-08-23T12:00:00Z,EMAIL,APPROVED,28,1,2026-08-23T12:00:00Z,UPSERT
VE_d64eb9e6e4c035,VE_b8c8c6c7533b5c,IQ_cba8d4f6c70cb8,2026-07-24T12:00:00Z,EMAIL,APPROVED,29,1,2026-07-24T12:00:00Z,UPSERT
VE_3eb6f3272fa581,VE_a407c0672991df,IQ_d19e228b25b7ab,2026-09-09T12:00:00Z,EMAIL,APPROVED,30,1,2026-09-09T12:00:00Z,UPSERT
VE_6e04f0e62695e6,VE_689027e3375bd4,IQ_48c377d7d5a68d,2026-07-07T12:00:00Z,EMAIL,APPROVED,10,1,2026-07-07T12:00:00Z,UPSERT
VE_484041f3daa22e,VE_0ae5723ceb0b1e,IQ_3724bf97128d1c,2026-09-07T12:00:00Z,EMAIL,APPROVED,11,1,2026-09-07T12:00:00Z,UPSERT
