activity_key,source_version,product_code,detail_rank
VE_8a40eb4384d07d,1,IQ_cba8d4f6c70cb8,1
VE_3d2ac4e3788074,1,IQ_d19e228b25b7ab,1
VE_40190d0b455a2c,1,IQ_48c377d7d5a68d,1
VE_651a79fcb29601,1,IQ_3724bf97128d1c,1
VE_22b27035b848a8,1,IQ_cba8d4f6c70cb8,1
VE_8333e280068dc8,1,IQ_d19e228b25b7ab,1
VE_5cf7a416594cf7,1,IQ_48c377d7d5a68d,1
VE_8674d1c944145b,1,IQ_3724bf97128d1c,1
VE_f8e4caf96fbe96,1,IQ_cba8d4f6c70cb8,1
VE_51ebdf0e1d4197,1,IQ_d19e228b25b7ab,1
VE_6f3b28369ca039,1,IQ_48c377d7d5a68d,1
VE_f7c99be0b95a62,1,IQ_3724bf97128d1c,1
VE_687d712517430a,1,IQ_cba8d4f6c70cb8,1
VE_c0d4debab11d94,1,IQ_d19e228b25b7ab,1
VE_d76753bcca1c6d,1,IQ_48c377d7d5a68d,1
VE_5c740d97941c56,1,IQ_3724bf97128d1c,1
VE_a0c3e79dccd24d,1,IQ_cba8d4f6c70cb8,1
VE_a0c3e79dccd24d,1,IQ_d19e228b25b7ab,2
VE_4dc1bfcf9a8e23,1,IQ_d19e228b25b7ab,1
VE_be69b0b9fcc9cc,1,IQ_48c377d7d5a68d,1
VE_3e6e185d9666fa,1,IQ_3724bf97128d1c,1
VE_153f830bc39476,1,IQ_cba8d4f6c70cb8,1
VE_a4736028790d0c,1,IQ_d19e228b25b7ab,1
VE_105318c9e0add8,1,IQ_48c377d7d5a68d,1
VE_f625a1c944697d,1,IQ_3724bf97128d1c,1
VE_6698e9ca0552db,1,IQ_cba8d4f6c70cb8,1
VE_1cf9248be752a1,1,IQ_d19e228b25b7ab,1
VE_790646921937d5,1,IQ_48c377d7d5a68d,1
VE_859e17b9f15ba8,1,IQ_3724bf97128d1c,1
VE_b783f945356fa5,1,IQ_cba8d4f6c70cb8,1
VE_d1a48d69d0833b,1,IQ_d19e228b25b7ab,1
VE_854ba74b377873,1,IQ_48c377d7d5a68d,1
VE_b8c45300640936,1,IQ_3724bf97128d1c,1
VE_15522335e41965,1,IQ_cba8d4f6c70cb8,1
VE_1c4e755ae3a25a,1,IQ_d19e228b25b7ab,1
VE_1c4e755ae3a25a,1,IQ_48c377d7d5a68d,2
VE_1b1f346388b9f4,1,IQ_48c377d7d5a68d,1
VE_e0a478708d1f27,1,IQ_3724bf97128d1c,1
VE_f7f87c3d7ed447,1,IQ_cba8d4f6c70cb8,1
VE_02c1427e68edd3,1,IQ_d19e228b25b7ab,1
VE_0a1f98d2593e8e,1,IQ_48c377d7d5a68d,1
VE_cea2fbeca3b3fe,1,IQ_3724bf97128d1c,1
VE_71dd35dbfe59ef,1,IQ_cba8d4f6c70cb8,1
VE_9abc34684d457a,1,IQ_d19e228b25b7ab,1
VE_f19cb7dc11f983,1,IQ_48c377d7d5a68d,1
VE_3342637e9a3b6a,1,IQ_3724bf97128d1c,1
VE_2c9e23bd7615a9,1,IQ_cba8d4f6c70cb8,1
VE_2578f08c33db1e,1,IQ_d19e228b25b7ab,1
VE_4290f3742277b8,1,IQ_48c377d7d5a68d,1
VE_e1b3c45b92d8be,1,IQ_3724bf97128d1c,1
VE_f611640e3cedac,1,IQ_cba8d4f6c70cb8,1
VE_d5cf868ebed0e4,1,IQ_d19e228b25b7ab,1
VE_02d49b7803e1e1,1,IQ_48c377d7d5a68d,1
VE_02d49b7803e1e1,1,IQ_3724bf97128d1c,2
VE_34469e3d293212,1,IQ_3724bf97128d1c,1
VE_3934164344df4b,1,IQ_cba8d4f6c70cb8,1
VE_38c70e310163a3,1,IQ_d19e228b25b7ab,1
VE_13ad839962eb23,1,IQ_48c377d7d5a68d,1
VE_ae6b919968e5fa,1,IQ_3724bf97128d1c,1
VE_8de22cede4b52d,1,IQ_cba8d4f6c70cb8,1
VE_399a9c65f8d989,1,IQ_d19e228b25b7ab,1
VE_94a11c6c1575e1,1,IQ_48c377d7d5a68d,1
VE_3852f0c965d688,1,IQ_3724bf97128d1c,1
VE_d64eb9e6e4c035,1,IQ_cba8d4f6c70cb8,1
VE_3eb6f3272fa581,1,IQ_d19e228b25b7ab,1
VE_6e04f0e62695e6,1,IQ_48c377d7d5a68d,1
VE_484041f3daa22e,1,IQ_3724bf97128d1c,1
VE_98a0ce3eaf2753,1,IQ_cba8d4f6c70cb8,1
VE_ca808ffc199f28,1,IQ_d19e228b25b7ab,1
VE_9e2a687d484ff3,1,IQ_48c377d7d5a68d,1
VE_d7f11af89369f5,1,IQ_3724bf97128d1c,1
VE_d7f11af89369f5,1,IQ_cba8d4f6c70cb8,2
VE_8f8094dd0bb90e,1,IQ_cba8d4f6c70cb8,1
VE_49428c7080efc0,1,IQ_d19e228b25b7ab,1
VE_95d9ef6cfd488c,1,IQ_48c377d7d5a68d,1
VE_86067e2df8e379,1,IQ_3724bf97128d1c,1
VE_8b6fac4d6a0c47,1,IQ_cba8d4f6c70cb8,1
VE_1b37f3abcbc6ed,1,IQ_d19e228b25b7ab,1
VE_527aff79f527f8,1,IQ_48c377d7d5a68d,1
VE_3b20bf9596f759,1,IQ_3724bf97128d1c,1
VE_b10fad2abd1bb9,1,IQ_cba8d4f6c70cb8,1
VE_cdb5ff687703bc,1,IQ_d19e228b25b7ab,1
VE_a8201c132ff47a,1,IQ_48c377d7d5a68d,1
VE_5a949e13e863f2,1,IQ_3724bf97128d1c,1
VE_2076bebb4be080,1,IQ_cba8d4f6c70cb8,1
VE_5e3c121ed0ba53,1,IQ_d19e228b25b7ab,1
VE_b7dda451656b47,1,IQ_48c377d7d5a68d,1
VE_c033b18fa89d76,1,IQ_3724bf97128d1c,1
VE_f4fe312e1078a9,1,IQ_cba8d4f6c70cb8,1
VE_f4fe312e1078a9,1,IQ_d19e228b25b7ab,2
VE_2d2065d7aa480f,1,IQ_d19e228b25b7ab,1
