customer_key,territory_code,assignment_status
IQ_01a21f98815364,VE_4fba8ad2115c09,ASSIGNED
IQ_05605b3c9aa55e,VE_106615cdd9ff03,ASSIGNED
IQ_05884139b2f597,VE_67198edffeb7a6,ASSIGNED
IQ_068d08db4e01c0,VE_4fba8ad2115c09,ASSIGNED
IQ_06a6ec1d2ef8be,VE_b2208522e148c6,ASSIGNED
IQ_0761c9286a2f08,VE_b2208522e148c6,ASSIGNED
IQ_076d9a257d3fec,VE_106615cdd9ff03,ASSIGNED
IQ_08def56e473c8b,VE_106615cdd9ff03,ASSIGNED
IQ_0924a6da562c98,VE_67198edffeb7a6,ASSIGNED
IQ_0a303a7880e935,VE_b2208522e148c6,ASSIGNED
IQ_0ba748be4238c5,VE_4fba8ad2115c09,ASSIGNED
IQ_0bbbaaab35ea95,VE_4fba8ad2115c09,ASSIGNED
IQ_0c1c46bc19d342,VE_b2208522e148c6,ASSIGNED
IQ_0f74fd147c74bd,VE_b2208522e148c6,ASSIGNED
IQ_138c14e03ba3ea,VE_4fba8ad2115c09,ASSIGNED
IQ_1b3d6b1cddbd15,VE_67198edffeb7a6,ASSIGNED
IQ_1b727779854ab3,VE_106615cdd9ff03,ASSIGNED
IQ_212e5067a55b64,VE_67198edffeb7a6,ASSIGNED
IQ_21d1ec50b3e069,VE_106615cdd9ff03,ASSIGNED
IQ_229d78a6df9a94,VE_b2208522e148c6,ASSIGNED
IQ_2472ae6f311b48,VE_b2208522e148c6,ASSIGNED
IQ_25c94f4d88e49a,VE_67198edffeb7a6,ASSIGNED
IQ_25dc7ff2807b62,VE_b2208522e148c6,ASSIGNED
IQ_2674a44d322f11,,MISSING
IQ_27d47adc2955b8,VE_4fba8ad2115c09,ASSIGNED
IQ_2addb9b1683255,VE_4fba8ad2115c09,ASSIGNED
IQ_2d3b19f7ba0a85,VE_67198edffeb7a6,ASSIGNED
IQ_2e15f14171efd2,VE_67198edffeb7a6,ASSIGNED
IQ_2ed3fcb44618c9,VE_106615cdd9ff03,ASSIGNED
IQ_2f9f098695e506,VE_4fba8ad2115c09,ASSIGNED
IQ_33101f0c5b3c7f,VE_106615cdd9ff03,ASSIGNED
IQ_33b40f57a97926,VE_106615cdd9ff03,ASSIGNED
IQ_39d652b58996e7,VE_67198edffeb7a6,ASSIGNED
IQ_3dfe85e7cae767,VE_4fba8ad2115c09,ASSIGNED
IQ_413c07c026c858,VE_106615cdd9ff03,ASSIGNED
IQ_48d6b84c70a4f2,VE_106615cdd9ff03,ASSIGNED
IQ_51aeb27d07be6b,VE_67198edffeb7a6,ASSIGNED
IQ_52fa506fffb2b4,VE_106615cdd9ff03,ASSIGNED
IQ_54eb2f31fd81c4,VE_b2208522e148c6,ASSIGNED
IQ_587a5d52e1a4df,VE_106615cdd9ff03,ASSIGNED
IQ_59b5871585180e,VE_106615cdd9ff03,ASSIGNED
IQ_62144644af5434,VE_4fba8ad2115c09,ASSIGNED
IQ_6648ea2780803e,VE_67198edffeb7a6,ASSIGNED
IQ_684faa338cd172,VE_4fba8ad2115c09,ASSIGNED
IQ_6f1507ed9f081a,VE_4fba8ad2115c09,ASSIGNED
IQ_70849c1fe756b7,VE_4fba8ad2115c09,ASSIGNED
IQ_715da7641aed2d,VE_67198edffeb7a6,ASSIGNED
IQ_7201837835a5f2,VE_67198edffeb7a6,ASSIGNED
IQ_72437542771259,VE_4fba8ad2115c09,ASSIGNED
IQ_73f40fd1707597,VE_4fba8ad2115c09,ASSIGNED
IQ_7aeaa83a0a1c56,VE_106615cdd9ff03,ASSIGNED
IQ_7b0a140e80e73a,VE_67198edffeb7a6,ASSIGNED
IQ_7cd8b403393f76,VE_4fba8ad2115c09,ASSIGNED
IQ_7e009d7f4fe2aa,VE_67198edffeb7a6,ASSIGNED
IQ_84cf83fad0fc3b,VE_106615cdd9ff03,ASSIGNED
IQ_8574a122b9ffcf,VE_106615cdd9ff03,ASSIGNED
IQ_87b762d0f01c95,VE_67198edffeb7a6,ASSIGNED
IQ_892ff68c2aaeda,VE_106615cdd9ff03,ASSIGNED
IQ_8d5a147a182e01,VE_4fba8ad2115c09,ASSIGNED
IQ_90184cbb052110,VE_b2208522e148c6,ASSIGNED
IQ_92918c3b2f4fdb,VE_67198edffeb7a6,ASSIGNED
IQ_93d35e630ae6a9,VE_b2208522e148c6,ASSIGNED
IQ_9618214b0f52fe,VE_67198edffeb7a6,ASSIGNED
IQ_9645247222684b,VE_67198edffeb7a6,ASSIGNED
IQ_9793f962088daa,VE_4fba8ad2115c09,ASSIGNED
IQ_98b3077966380e,VE_67198edffeb7a6,ASSIGNED
IQ_9b17ca25ee17c9,VE_4fba8ad2115c09,ASSIGNED
IQ_9c874b2d595221,VE_67198edffeb7a6,ASSIGNED
IQ_a48ac6570531bf,VE_b2208522e148c6,ASSIGNED
IQ_a693ef2a2ce111,VE_4fba8ad2115c09,ASSIGNED
IQ_aa92849fd7cd30,VE_67198edffeb7a6,ASSIGNED
IQ_ad1c6f1f62ce12,VE_4fba8ad2115c09,ASSIGNED
IQ_af36945ece0ade,VE_67198edffeb7a6,ASSIGNED
IQ_b261065f5903a5,VE_b2208522e148c6,ASSIGNED
IQ_b742d85b1af394,VE_b2208522e148c6,ASSIGNED
IQ_b77348ba966bc5,VE_b2208522e148c6,ASSIGNED
IQ_b9f0f246c1b0e5,VE_4fba8ad2115c09,ASSIGNED
IQ_be1ad011586236,VE_b2208522e148c6,ASSIGNED
IQ_be89a3a9a5c2a1,VE_106615cdd9ff03,ASSIGNED
IQ_c17af42164280c,VE_67198edffeb7a6,ASSIGNED
IQ_c4d7ac77a3a565,VE_b2208522e148c6,ASSIGNED
IQ_c555f3d5651536,VE_b2208522e148c6,ASSIGNED
